group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.4045666505869111,0.39145732755093693,0.09616342800199303,0.01614016299894526,0.0004354201739750235,0.00011215166256132482,0.02697743349949302,0.006948607803319818,0.07501447644999007,0.2819316024434609,173729,0.24872646478135488,1,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.42660253923926256,0.4113274828073263,0.4114285714285714,0.024800723587938486,0.0006956285129747848,0.00014825366283356244,0.028048718437920693,0.005977795861797504,0.3139597213013103,0.3104501740645875,115739,0.2595927042742723,1,0.4409028347578777
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",200,30,0.7,0.48812376763233734,0.48151824471473653,0.46769808389435524,0.011953532387043098,0.0004869596062980658,0.0001007244893842128,0.04073771589274317,0.008426336761624707,0.3648385631517988,0.2819316024434609,173729,0.3195033644354138,1,0.4409028347578777
