drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.45830195049736383,0.3227833781643581,0.31373810481168746,0.45853000674308836,0.3223150930532057,0.31373810481168746,0.4052837335586774,3.0
cocaine,173729,0.019357735323405994,30,0.7,0.0689125028261361,0.03714549320068996,0.03567842164333392,0.06908256880733946,0.03681772406847936,0.03567842164333392,0.4052837335586774,3.0
crack,173729,0.0028895578746208177,30,0.7,0.012479046377351461,0.005213006879459898,0.006149813489263031,0.012658227848101266,0.005213006879459898,0.006149813489263031,0.4052837335586774,3.0
heroin,173729,0.003154338078271331,30,0.7,0.01641382740611788,0.006523098918774015,0.006044644013643625,0.01611295681063123,0.006523098918774015,0.006044644013643625,0.4052837335586774,3.0
methamphetamine,173729,0.008593844435874264,30,0.7,0.044291714394807176,0.0182664139238325,0.01575503462295915,0.04434250764525994,0.01812371404806724,0.01575503462295915,0.4052837335586774,3.0
inhalants,173729,0.012467693937108946,30,0.7,0.03983039958884749,0.022716248989490703,0.02399535038193291,0.039951573849878935,0.02271984308597581,0.02399535038193291,0.4052837335586774,3.0
hallucinogens,173729,0.037564252370070626,30,0.7,0.12205111402359109,0.06454316848281642,0.0729160624166135,0.12186291450670617,0.06464646464646465,0.0729160624166135,0.4052837335586774,3.0
tobacco,173729,0.16289163006751894,30,0.7,0.4020994216561361,0.2432130903681666,0.22741968769347182,0.40186823015005463,0.24308600578912676,0.22741968769347182,0.4052837335586774,3.0
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.41171348700792815,0.26001381215469616,0.2762191877992552,0.4122025176881375,0.2596020761245675,0.2762053761911535,0.4052837335586774,3.0
opioid_misuse,173729,0.22239810279227992,30,0.7,0.38941805261114926,0.3082368958475153,0.29836414340338674,0.3906582997868814,0.30780176778042306,0.29836414340338674,0.4052837335586774,3.0
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.25459719011203985,0.16162778887497037,0.1723943963785391,0.25456872644528195,0.16162778887497037,0.1723943963785391,0.4052837335586774,3.0
sedative_misuse,173729,0.042117320654582714,30,0.7,0.12275617053103964,0.07857938818792912,0.08075065922399918,0.12302779864763336,0.07869158208098705,0.08075065922399918,0.4052837335586774,3.0
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.19544951244776226,0.1368696562554528,0.13525859399194798,0.1956482647005934,0.13686703350282092,0.13525859399194798,0.4052837335586774,3.0
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.39048679046335893,0.3008463923573284,0.31939018580276324,0.39089161959117114,0.3008552741908435,0.31939018580276324,0.4052837335586774,3.0
