group,members,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.46704049200237735,0.32428933878734534,0.3361209472864713,0.038761922583588224,0.0014304804365191826,7.855902287173464e-05,0.03690426947823396,0.0020267060464383797,0.23965349138616113,0.4025288984622769,173729,0.24872646478135488,5.0,0.40247649792706774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",500,30,0.7,0.45570150191009473,0.34202954616891124,0.33006793720261574,0.033450813670464874,0.0012032288152365855,6.0030230566672504e-05,0.03597009110421032,0.0017945820737890067,0.23939934883538871,0.3787336465546146,173729,0.24872646478135488,5.0,0.40247649792706774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.4044866855038959,0.324787239736659,0.35940530058177117,0.01614016299894526,0.00047862313431757075,0.00011645238012646889,0.029654169809118298,0.007215068406315284,0.2966050786061748,0.21173009670202259,173729,0.24872646478135488,5.0,0.40247649792706774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",100,30,0.7,0.3852675313008815,0.3213101969194775,0.32115305422100204,0.010869994790424851,0.00030867204894909593,0.000138821435205863,0.028396706245066336,0.012771067317175522,0.29105352293733244,0.10341579438689859,173729,0.24872646478135488,5.0,0.40247649792706774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",50,30,0.7,0.36996598266213104,0.34419401670752314,0.32180401982678797,0.004754605989759123,0.0001130457242230344,7.069034046178722e-05,0.02377604463261981,0.014867759939319079,0.3122695312467479,0.030532881456520194,173729,0.24872646478135488,5.0,0.40247649792706774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.3346879916098584,0.3540383757251227,0.3540383757251227,0.0036211629963585007,6.278349348098509e-05,6.278349348098509e-05,0.017337936332642627,0.017337936332642627,0.3477188510455874,0.018174236629773022,173729,0.24872646478135488,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4967758144209028,0.3429678301492651,0.3228343163090308,0.0581650287371821,0.002111759712020153,0.00013266517310806013,0.03630634692131093,0.002280840841796983,0.22963025780711838,0.40588753151250956,115739,0.2595927042742723,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.48436118711850135,0.3379071800524535,0.3410967440411279,0.04884532494027799,0.0015574873059985474,0.00015249222884414562,0.031886107992993185,0.0031219411280525664,0.24652930843863088,0.3835951035656999,115739,0.2595927042742723,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.4347638186611349,0.33969949659916227,0.32790400395859964,0.024800723587938486,0.0006729787151126556,0.00011559536580079636,0.02713544678349426,0.004660967466974015,0.2673885169175425,0.2263204409025498,115739,0.2595927042742723,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",100,30,0.7,0.4048957043527955,0.34181039427893994,0.34901277584204415,0.016369224450252063,0.00041846911150695144,0.00013218154588976198,0.02556438228205171,0.008075003570967992,0.31284413444489345,0.11561233667151173,115739,0.2595927042742723,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",50,30,0.7,0.40539183500057935,0.33732066617946843,0.37599256884307675,0.00940601574490652,0.00011007975045777873,4.916503010088521e-05,0.011703122070297228,0.005226977227579989,0.36251595526189917,0.03717522880183699,115739,0.2595927042742723,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",30,30,0.7,0.3900504987270982,0.26837094876457374,0.26837094876457374,0.006992898468965434,7.872374172157885e-05,7.872374172157896e-05,0.011257669773264369,0.011257669773264384,0.2622891510878782,0.023187377943275647,115739,0.2595927042742723,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",639,30,0.7,0.477147235533069,0.3987898914996702,0.35762917612286904,0.02312494244032078,0.001465202065755226,5.815704130200314e-05,0.06336024703786901,0.0025149053430982902,0.2549888109364244,0.4025288984622769,173729,0.3195033644354138,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",500,30,0.7,0.4776825862640223,0.39292435077154686,0.3898128898128898,0.021098258323166048,0.001047885550139541,7.926704731355894e-05,0.04966692198421681,0.003757042221182927,0.2827325573630646,0.3787336465546146,173729,0.3195033644354138,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",200,30,0.7,0.44209750706127965,0.3666051471342151,0.3475636523266023,0.011953532387043098,0.00044188146077541216,9.443697317766057e-05,0.03696660087309294,0.007900340260927766,0.28683256549669733,0.21173009670202259,173729,0.3195033644354138,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",100,30,0.7,0.4249589168771921,0.3854075158613958,0.42286751361161523,0.007011919025747013,0.00022115512297699307,9.647081778484893e-05,0.03153988546715032,0.013758119201122895,0.3832349652440648,0.10341579438689859,173729,0.3195033644354138,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",50,30,0.7,0.4377813794345399,0.3793401705177314,0.4023399267065759,0.004107915383927057,0.00010594531291604125,7.751844538989722e-05,0.025790529505688206,0.018870506849581616,0.39041930048648454,0.030532881456520194,173729,0.3195033644354138,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,30,0.7,0.427595064446585,0.41910993666373053,0.41910993666373053,0.0034370182485666707,9.691678014467223e-05,9.691678014467234e-05,0.028197924228388703,0.028197924228388734,0.41162889570945477,0.018174236629773022,173729,0.3195033644354138,5.0,0.40247649792706774
