drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.3987220008245156,0.006251001763103062,0.3744073378045206,0.45853000674308836,0.321547105710179,0.3476345656815373,0.40247649792706774,5
cocaine,173729,0.019357735323405994,30,0.7,0.04237214927436075,0.03787979934768926,0.03786953823982706,0.06908256880733946,0.037042765447374525,0.03822979430708498,0.40247649792706774,5
crack,173729,0.0028895578746208177,30,0.7,0.006547579812361304,0.011577424023154847,0.007140023800079333,0.012658227848101266,0.005555049631181131,0.005806266168439207,0.40247649792706774,5
heroin,173729,0.003154338078271331,30,0.7,0.007153515316422365,0.0,0.006725200821968989,0.01611295681063123,0.006722237160527024,0.007444084002048831,0.40247649792706774,5
methamphetamine,173729,0.008593844435874264,30,0.7,0.01911978501255562,0.01677813430239301,0.012468827930174564,0.04434250764525994,0.01686311623505119,0.01662224514945691,0.40247649792706774,5
inhalants,173729,0.012467693937108946,30,0.7,0.026549218959023648,0.024606261311563786,0.02485593545908567,0.039951573849878935,0.023909674562762894,0.022781774580335732,0.40247649792706774,5
hallucinogens,173729,0.037564252370070626,30,0.7,0.07851967085601998,0.0055274067250115156,0.04229752463350156,0.12186291450670617,0.07172288567637405,0.06918073136427567,0.40247649792706774,5
tobacco,173729,0.16289163006751894,30,0.7,0.302540500736377,0.014328892869136908,0.2777111989554081,0.40186823015005463,0.24224806201550386,0.24957976010712557,0.40247649792706774,5
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.3278776929921536,0.30231927636605627,0.3006379178361827,0.4122025176881375,0.255254585211299,0.2747508056658922,0.40247649792706774,5
opioid_misuse,173729,0.22239810279227992,30,0.7,0.37221374045801525,0.3638654006644937,0.3541012216404887,0.3906582997868814,0.30780760686277137,0.32493129915663793,0.40247649792706774,5
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.12740167633784655,0.0030257186081694403,0.057298031228784796,0.25456872644528195,0.16230685822716184,0.1602704987320372,0.40247649792706774,5
sedative_misuse,173729,0.042117320654582714,30,0.7,0.11339846475924634,0.0008787346221441124,0.07947188015742034,0.12302779864763336,0.07707327856169179,0.0776826170084597,0.40247649792706774,5
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.11082547843473294,0.005547850208044383,0.14539605319941937,0.1956482647005934,0.1363557468670809,0.13898781324533604,0.40247649792706774,5
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.3726790450928382,0.3614179092652162,0.15528510254676584,0.39089161959117114,0.3054256062805829,0.2885148881080081,0.40247649792706774,5
