group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",1500,30,0.7,0.001539882968894364,0.0,0.0,0.04264200976660754,0.0030939847236482626,6.835067569529833e-05,0.07255719748160476,0.0016028952685251468,0.0,0.5403230178522054,173729,0.24872646478135488
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",1000,30,0.7,0.0,0.0,0.0,0.032108761185175035,0.0023188972068883366,5.805361554902513e-05,0.07222007705357991,0.0018080303757040965,0.0,0.5185541510238497,173729,0.24872646478135488
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",500,30,0.7,0.0,0.0,0.0,0.022332675457628424,0.0010578525763972613,3.985112750760737e-05,0.04736792859432875,0.0017844314078363133,0.0,0.4086522782623765,173729,0.24872646478135488
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.0,0.0,0.0,0.012784435002267145,0.0004953790473344622,0.00010344815543441438,0.038748606977673516,0.008091726808112307,0.0,0.3110069354915299,173729,0.24872646478135488
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",100,30,0.7,0.0,0.0,0.0,0.007221051908923906,0.00025259718507292294,7.221531146261312e-05,0.03498066324114895,0.010000663666933087,0.0,0.16819123240061928,173729,0.24872646478135488
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",50,30,0.7,0.0,0.0,0.0,0.005754811010871068,0.00013507987666382972,7.828187667606619e-05,0.023472513069266468,0.013602857944107738,0.0,0.08411959626839256,173729,0.24872646478135488
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.0,0.0,0.0,0.004015980655049023,6.869872031567198e-05,6.869872031567198e-05,0.0171063374593953,0.0171063374593953,0.0,0.0693666781336821,173729,0.24872646478135488
nicotine,"tobacco,nicotine_vaping",1500,30,0.7,0.01206140350877193,0.0,0.0,0.06327667268208582,0.0042915275699903135,6.170009695629329e-05,0.06782163770765529,0.0009750844085352978,0.0,0.558081364612609,115739,0.2595927042742723
nicotine,"tobacco,nicotine_vaping",1000,30,0.7,0.01206140350877193,0.0,0.0,0.049849436536317,0.0029173260831061136,7.352938124876424e-05,0.058522749419258585,0.001475029335490996,0.0,0.5272814659328364,115739,0.2595927042742723
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.01206140350877193,0.0,0.0,0.036875651586513944,0.001583507182230447,0.00014346077807893091,0.04294180886581439,0.003890393034611407,0.0,0.42271189952752897,115739,0.2595927042742723
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.01010766864425401,0.0,0.0,0.022341684562481316,0.000539447786409017,0.00010950745043268248,0.024145349689294188,0.00490148583587917,0.0,0.31793548401737304,115739,0.2595927042742723
nicotine,"tobacco,nicotine_vaping",100,30,0.7,0.01010766864425401,0.0,0.0,0.016518594080958057,0.0002923116710516799,7.664932386838505e-05,0.017695917074967326,0.004640184478940807,0.0,0.1822231363940486,115739,0.2595927042742723
nicotine,"tobacco,nicotine_vaping",50,30,0.7,0.0,0.0,0.0,0.014011852433251626,0.00013370981827772344,7.517162350867499e-05,0.009542622498679456,0.0053648597761624065,0.0,0.1061285579609759,115739,0.2595927042742723
nicotine,"tobacco,nicotine_vaping",30,30,0.7,0.0,0.0,0.0,0.010552427257762448,6.830908998629761e-05,6.830908998629761e-05,0.006473305934049336,0.006473305934049336,0.0,0.07153655796291306,115739,0.2595927042742723
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",1500,30,0.7,0.0,0.0005996641880546894,0.0,0.026790956454924145,0.0030011119719993117,8.04156003666361e-05,0.1120195905304348,0.0030015949785867314,0.0,0.5403230178522054,173729,0.3195033644354138
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",1000,30,0.7,0.002157626610728199,0.0,0.0,0.021192141416489937,0.002055563618010057,8.006420330024331e-05,0.09699650344965095,0.0037780138272361704,0.0,0.5185541510238497,173729,0.3195033644354138
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",500,30,0.7,0.0007199856002879943,0.0,0.0,0.013613707758341339,0.000919721261777993,5.1625614412485754e-05,0.0675584696031443,0.0037921788339296404,0.0,0.4086522782623765,173729,0.3195033644354138
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",200,30,0.7,0.002756141402037148,0.0,0.0,0.00804412089053347,0.0005030405838970728,8.32094048640983e-05,0.06253518448349825,0.010344126598348526,0.0,0.3110069354915299,173729,0.3195033644354138
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",100,30,0.7,0.0032335329341317367,0.0,0.0,0.005757084671856853,0.00020226781278486947,8.632068948731726e-05,0.03513372206833139,0.014993819686080096,0.0,0.16819123240061928,173729,0.3195033644354138
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",50,30,0.7,0.002875112309074573,0.0,0.0,0.002754682835833244,0.00011572261565752617,6.616066461979757e-05,0.04200941544056998,0.024017525269759456,0.0,0.08411959626839256,173729,0.3195033644354138
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,30,0.7,0.002755976274639027,0.0,0.0,0.0023473950675974957,5.7117468951066e-05,5.7117468951066e-05,0.02433227782553211,0.02433227782553211,0.0,0.0693666781336821,173729,0.3195033644354138
