drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
methamphetamine,500,30,0.7,0.04114695340501792,0.015955101222689918,0.0161688277599874,0.0075386879110754266,0.0010738415367632565,5.75518953886316e-05,0.1424440896652092,0.00763420585485168,0.011713262012514788,0.3803864152199581,173729,0.008593844435874264,3.0,0.4052837335586774
methamphetamine,200,30,0.7,0.032661264995917344,0.017511250244570533,0.018059027648222082,0.004158560232062325,0.000499912433545276,8.127678005945861e-05,0.120212863502847,0.01954445181118649,0.01486611580763208,0.2147778129745767,173729,0.008593844435874264,3.0,0.4052837335586774
methamphetamine,100,30,0.7,0.029339009376977507,0.017459660736450146,0.01665245523398706,0.002947586148511135,0.0002642444285681014,9.419329831521109e-05,0.0896477372515727,0.0319560798461444,0.014973164121167445,0.11215338984000131,173729,0.008593844435874264,3.0,0.4052837335586774
methamphetamine,50,30,0.7,0.034536082474226806,0.01756644900211533,0.017359816816656905,0.002166292269273781,0.00014565033512772927,7.792603556584972e-05,0.06723484969853882,0.035972078500734035,0.0167842371518933,0.03429287012300582,173729,0.008593844435874264,3.0,0.4052837335586774
methamphetamine,30,30,0.7,0.028824184193567286,0.01720047449584816,0.01720047449584816,0.001942788225471155,9.891975134232675e-05,9.891975134232675e-05,0.05091638401212631,0.05091638401212631,0.016839292137480647,0.02144878510442841,173729,0.008593844435874264,3.0,0.4052837335586774
inhalants,639,30,0.7,0.03983039958884749,0.023525721455457966,0.023743185947910358,0.005385106667635345,0.0014055650671331963,6.307812902713135e-05,0.2610096983929186,0.011713440962317948,0.016905594462028373,0.4044573233576545,173729,0.012467693937108946,3.0,0.4052837335586774
inhalants,500,30,0.7,0.03947482827580211,0.023946472590679658,0.023728415364736286,0.0047028620549306255,0.0011412119105069117,8.937247537882872e-05,0.2426632755069713,0.019003847940878442,0.017189690584542065,0.3803864152199581,173729,0.012467693937108946,3.0,0.4052837335586774
inhalants,200,30,0.7,0.03443598824504559,0.02438934259635638,0.02443339792737383,0.0022319845390891342,0.0004622034209326596,6.888473743896047e-05,0.20708182016407845,0.030862551345034007,0.020113470682794878,0.2147778129745767,173729,0.012467693937108946,3.0,0.4052837335586774
inhalants,100,30,0.7,0.03417786764997423,0.02426397531768028,0.024485716665278587,0.0016202536035315723,0.00018862055076310555,6.899988351573904e-05,0.11641421463404268,0.04258585406959998,0.022016492409200134,0.11215338984000131,173729,0.012467693937108946,3.0,0.4052837335586774
inhalants,50,30,0.7,0.03228661749209694,0.025822216351868973,0.025605586673456027,0.0009287244934430101,0.00011974158853140103,7.141966652308464e-05,0.12893122705043505,0.07690081076500348,0.02475661141356492,0.03429287012300582,173729,0.012467693937108946,3.0,0.4052837335586774
inhalants,30,30,0.7,0.031114246463446328,0.023813341885824246,0.023813341885824246,0.0007377620424283759,9.932295066347822e-05,9.932295066347822e-05,0.13462735265771114,0.13462735265771114,0.02331329992564402,0.02144878510442841,173729,0.012467693937108946,3.0,0.4052837335586774
hallucinogens,639,30,0.7,0.12205111402359109,0.06964471532629701,0.07126948775055679,0.013547617218109237,0.0014935200894358727,5.9289219764829186e-05,0.11024227104966247,0.004376357761686438,0.05074521422991472,0.4044573233576545,173729,0.037564252370070626,3.0,0.4052837335586774
hallucinogens,500,30,0.7,0.11573364761343548,0.07107352177461236,0.06795148695796643,0.011450966754030288,0.001143107625014149,0.00010877388618942254,0.09982629847491438,0.009499100689567405,0.04922642399891967,0.3803864152199581,173729,0.037564252370070626,3.0,0.4052837335586774
hallucinogens,200,30,0.7,0.10627493652520856,0.07060075236539119,0.07205506151784627,0.005335992271863865,0.0004465817006466753,5.9713759058359e-05,0.0836923439716085,0.011190750663793774,0.05931542439140207,0.2147778129745767,173729,0.037564252370070626,3.0,0.4052837335586774
hallucinogens,100,30,0.7,0.09379493418869594,0.0694530284301607,0.06855991943605237,0.0032996452795623285,0.00021255667874870977,7.862134945732448e-05,0.06441803913446834,0.02382721256260399,0.06164610031527725,0.11215338984000131,173729,0.037564252370070626,3.0,0.4052837335586774
hallucinogens,50,30,0.7,0.08774128854349461,0.07054009288428437,0.07067368127007775,0.0014036003571049162,0.00014568034634518276,0.00010565861066121979,0.10379047398197082,0.07527684794776811,0.06833043455251965,0.03429287012300582,173729,0.037564252370070626,3.0,0.4052837335586774
hallucinogens,30,30,0.7,0.08305912507360327,0.07180843418518412,0.07180843418518412,0.0009774999245810213,6.118450757395383e-05,6.118450757395383e-05,0.06259285145231996,0.06259285145231996,0.07030057231684185,0.02144878510442841,173729,0.037564252370070626,3.0,0.4052837335586774
tobacco,639,30,0.7,0.4020994216561361,0.2440384724830687,0.2528882854727566,0.05429988181042541,0.0014653749647840658,8.55727518147345e-05,0.02698670634127823,0.001575928877957609,0.18006121031016684,0.4044573233576545,173729,0.16289163006751894,3.0,0.4052837335586774
tobacco,500,30,0.7,0.3885131823973341,0.2493662515154855,0.24575613959500214,0.04720818461547376,0.0010815128694875618,7.790842850102526e-05,0.022909435689951668,0.0016503161291969838,0.17803430755716476,0.3803864152199581,173729,0.16289163006751894,3.0,0.4052837335586774
tobacco,200,30,0.7,0.34207744787162486,0.24651970450598934,0.2581064490503358,0.024309876348629775,0.00048775050814035787,6.992169734134013e-05,0.02006388272591316,0.0028762670915552092,0.2124721461765268,0.2147778129745767,173729,0.16289163006751894,3.0,0.4052837335586774
tobacco,100,30,0.7,0.324061534187589,0.24824543813916183,0.25361265949858663,0.016580907635007084,0.00024284926306437178,8.179373187797387e-05,0.014646319032116604,0.0049330069064062385,0.22803748279279384,0.11215338984000131,173729,0.16289163006751894,3.0,0.4052837335586774
tobacco,50,30,0.7,0.3110230649497665,0.24412055049068,0.22653540272571207,0.010738609785145636,0.00011865854016081945,6.34185736945298e-05,0.01104971151153624,0.0059056595745060605,0.21902442651351814,0.03429287012300582,173729,0.16289163006751894,3.0,0.4052837335586774
