group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.341165210410942,0.3952234818972508,0.3952234818972508,0.0036211629963585007,7.377930469168632e-05,7.377930469168632e-05,0.02037447769290694,0.02037447769290694,0.3869244230946389,0.02144878510442841,173729,0.24872646478135488,3,0.4052837335586774
nicotine,"tobacco,nicotine_vaping",50,30,0.7,0.4173686778337941,0.0705837099721127,0.40647926200334134,0.00940601574490652,0.000128105161856658,8.318818349872445e-05,0.013619492602489914,0.008844146741277988,0.38974377767571705,0.042939708819543745,115739,0.2595927042742723,3,0.4052837335586774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,30,0.7,0.4346982853616609,0.48277997287256,0.48277997287256,0.0034370182485666707,8.142168710420332e-05,8.142168710420337e-05,0.023689628979467407,0.023689628979467425,0.4726423682839886,0.02144878510442841,173729,0.3195033644354138,3,0.4052837335586774
