drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,200,30,0.7,0.05994769664051499,0.039328273095528374,0.04003354358843476,0.004511599967280672,0.0005674885018535862,0.00011547936453765243,0.125784312875513,0.025596100136346226,0.03306322410990892,0.21081790013445373,173729,0.019357735323405994,10.0,0.4003606511606134
crack,30,30,0.7,0.01402049148755874,0.006463713749819651,0.006463713749819651,0.00102089289490052,0.00011133599149145077,0.00011133599149145075,0.10905746533019,0.10905746533018999,0.0063498947092379705,0.0179245555703616,173729,0.0028895578746208177,10.0,0.4003606511606134
hallucinogens,639,30,0.7,0.12205111402359109,0.06778648749533409,0.06975178796802692,0.013547617218109237,0.001508495645894403,8.520579183653306e-05,0.11134767255440178,0.006289356310026062,0.04972594462450943,0.40272424173611265,173729,0.037564252370070626,10.0,0.4003606511606134
heroin,50,30,0.7,0.010245559329584052,0.006695598264104154,0.006534204560608081,0.001038095078058747,0.00017223937081868373,9.008751398703575e-05,0.16591868554157282,0.08678156354955532,0.006340949778097107,0.030477261179155557,173729,0.003154338078271331,10.0,0.4003606511606134
inhalants,30,30,0.7,0.031114246463446328,0.023121887854513964,0.023121887854513964,0.0007377620424283759,9.59272819080789e-05,9.59272819080789e-05,0.13002469141991918,0.13002469141991918,0.022714736301413175,0.0179245555703616,173729,0.012467693937108946,10.0,0.4003606511606134
marijuana,100,30,0.7,0.3780324027773809,0.3160934182590234,0.2872698475549396,0.011052527670744132,0.0003328342200698205,0.00012229024042048316,0.03011385539896249,0.011064459105059155,0.2604846286436941,0.10282840507984028,173729,0.2363278439408504,10.0,0.4003606511606134
methamphetamine,639,30,0.7,0.044291714394807176,0.018135894993996107,0.015403323875152006,0.008466845057088218,0.001727465531603213,0.0001074150660167748,0.20402706320425984,0.012686551518602523,0.01098100639943867,0.40272424173611265,173729,0.008593844435874264,10.0,0.4003606511606134
nicotine_vaping,639,30,0.7,0.41171348700792815,0.25539394472030585,0.23532789709429194,0.05483569776743507,0.002185499359189127,0.00016941790196067785,0.03985541259013605,0.0030895549588736883,0.16738135118814346,0.4059385673722625,115739,0.1784532439367888,10.0,0.4003606511606134
opioid_misuse,639,30,0.7,0.38941805261114926,0.3093131947928494,0.326010839848434,0.020121341735948026,0.001528090899471967,0.00014436593926322712,0.07594378742357612,0.007174767028846213,0.23241263688787434,0.40272424173611265,173729,0.22239810279227992,10.0,0.4003606511606134
pain_reliever_misuse,639,30,0.7,0.39048679046335893,0.30767583770474255,0.32524075615265724,0.019851978802733566,0.0015208487900417885,0.0001350040224129957,0.0766094304831905,0.006800532267060753,0.23186364538058873,0.40272424173611265,173729,0.22173039619176993,10.0,0.4003606511606134
sedative_misuse,50,30,0.7,0.09540993706816882,0.08110693107186125,0.08021118895319322,0.001670962971867062,0.0001805385937907348,9.874651645193756e-05,0.10804464062360923,0.05909557429725834,0.07783887328227805,0.030477261179155557,173729,0.042117320654582714,10.0,0.4003606511606134
stimulant_misuse,100,30,0.7,0.17010392984735304,0.13956592201849438,0.14474937766987309,0.0036083114393914194,0.00032188153071279044,0.00016016692001808114,0.08920558441792353,0.04438833030584938,0.13125285584151583,0.10282840507984028,173729,0.0796470364763511,10.0,0.4003606511606134
tobacco,500,30,0.7,0.3885131823973341,0.24829912526442172,0.25230536250304225,0.04720818461547376,0.0009553619098417844,0.00010020005429313677,0.0202372092386844,0.0021225144561117797,0.18301846721323617,0.3785787103608479,173729,0.16289163006751894,10.0,0.4003606511606134
tranquilizer_misuse,500,30,0.7,0.25208077260755046,0.1661861414363925,0.16383577598757643,0.02229446279073044,0.0012053244488835048,8.802717845224069e-05,0.0540638480593779,0.003948387511218279,0.11884397659433737,0.3785787103608479,173729,0.09864213804258357,10.0,0.4003606511606134
