drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon
marijuana,1500,30,0.7,0.0,0.0,0.0,0.04294320145127832,0.003132516666964828,8.195892105859184e-05,0.07294557837097589,0.0019085424069181062,0.0,0.5403230178522054,173729,0.2363278439408504,10
marijuana,1000,30,0.7,0.0,0.0,0.0,0.032445489143308345,0.0022738684796783995,7.419299847055607e-05,0.07008273074987278,0.0022866968700287833,0.0,0.5185541510238497,173729,0.2363278439408504,10
marijuana,500,30,0.7,0.0,0.0,0.0,0.022557205988211933,0.0010729364279171635,3.942791767860398e-05,0.04756512967420985,0.0017479078614261196,0.0,0.4086522782623765,173729,0.2363278439408504,10
marijuana,200,30,0.7,0.0,0.0,0.0,0.013089959013334465,0.00047615994872424097,0.00014150509041759224,0.03637596941588487,0.010810201183475364,0.0,0.3110069354915299,173729,0.2363278439408504,10
marijuana,100,30,0.7,0.0,0.0,0.0,0.007210960781150216,0.000272746245369877,8.043926956029322e-05,0.0378238425707221,0.011155138961588195,0.0,0.16819123240061928,173729,0.2363278439408504,10
marijuana,50,30,0.7,0.0,0.0,0.0,0.005711977993780013,0.000149548962845444,9.655022845342137e-05,0.026181641982566017,0.01690311632127409,0.0,0.08411959626839256,173729,0.2363278439408504,10
marijuana,30,30,0.7,0.0,0.0,0.0,0.004024537445502193,7.386103347198369e-05,7.386103347198369e-05,0.01835267641863551,0.01835267641863551,0.0,0.0693666781336821,173729,0.2363278439408504,10
cocaine,1500,30,0.7,0.0,0.0,0.0,0.011633418970571609,0.003261278349854336,0.00010149890747022765,0.280337049504037,0.008724770226790904,0.0,0.5403230178522054,173729,0.019357735323405994,10
cocaine,1000,30,0.7,0.0,0.0,0.0,0.008685901435080952,0.002341350759358299,0.00011903470042369378,0.2695576016902474,0.013704357724223288,0.0,0.5185541510238497,173729,0.019357735323405994,10
cocaine,500,30,0.7,0.0,0.0,0.0,0.0063032711703981505,0.0010875517751082666,8.78407375313975e-05,0.17253767856532987,0.013935738310596746,0.0,0.4086522782623765,173729,0.019357735323405994,10
cocaine,200,30,0.7,0.0,0.0,0.0,0.003289269442679624,0.0004915265206286012,0.00012733672013958653,0.14943334050134124,0.03871276657586643,0.0,0.3110069354915299,173729,0.019357735323405994,10
cocaine,100,30,0.7,0.0,0.0,0.0,0.0020291974671779074,0.00022703886513050127,0.00010025906513317663,0.11188603810266629,0.049408234908065035,0.0,0.16819123240061928,173729,0.019357735323405994,10
cocaine,50,30,0.7,0.0,0.0,0.0,0.001675646840846006,0.0001370602713313455,6.467980457558139e-05,0.08179544041759186,0.03859990243703479,0.0,0.08411959626839256,173729,0.019357735323405994,10
cocaine,30,30,0.7,0.0,0.0,0.0,0.001358452053425877,5.5275362107783484e-05,5.5275362107783484e-05,0.040689961760803174,0.040689961760803174,0.0,0.0693666781336821,173729,0.019357735323405994,10
crack,1500,30,0.7,0.0,0.0,0.0,0.005127567694654768,0.0026464203781699606,8.832176402731591e-05,0.5161161267414803,0.01722488503065243,0.0,0.5403230178522054,173729,0.0028895578746208177,10
crack,1000,30,0.7,0.0,0.0,0.0,0.004096871709734899,0.0020111775551027783,8.72789275469842e-05,0.4909056708619558,0.021303798051472755,0.0,0.5185541510238497,173729,0.0028895578746208177,10
crack,500,30,0.7,0.0,0.0,0.0,0.0029612069069223437,0.001114439014145394,8.757835373192643e-05,0.3763462159770721,0.029575222699635265,0.0,0.4086522782623765,173729,0.0028895578746208177,10
crack,200,30,0.7,0.0,0.0,0.0,0.001857682258131179,0.0004899328437524665,8.525234341492043e-05,0.2637333923000035,0.045891778877558936,0.0,0.3110069354915299,173729,0.0028895578746208177,10
crack,100,30,0.7,0.0,0.0,0.0,0.0012840315503153607,0.0002478943938446693,7.471289446234493e-05,0.19305942582468938,0.058186182764742266,0.0,0.16819123240061928,173729,0.0028895578746208177,10
crack,50,30,0.7,0.0,0.0,0.0,0.0010881845266235933,0.00013674852939186998,6.861475176824674e-05,0.12566667329498957,0.06305433507784182,0.0,0.08411959626839256,173729,0.0028895578746208177,10
crack,30,30,0.7,0.0,0.0,0.0,0.0009754357175097774,9.56313622111473e-05,9.56313622111473e-05,0.09803963551313029,0.09803963551313029,0.0,0.0693666781336821,173729,0.0028895578746208177,10
heroin,1500,30,0.7,0.0,0.0,0.0,0.00558260681505339,0.002703557061540255,0.00010406940663314932,0.484282191296397,0.018641722421240237,0.0,0.5403230178522054,173729,0.003154338078271331,10
heroin,1000,30,0.7,0.0,0.0,0.0,0.004498734882643369,0.0020560542758273175,9.803142312218814e-05,0.45702943815600444,0.021790886922544495,0.0,0.5185541510238497,173729,0.003154338078271331,10
heroin,500,30,0.7,0.0,0.0,0.0,0.003168515647480775,0.0011057443231200885,5.769743778933393e-05,0.3489786531429139,0.01820961112665107,0.0,0.4086522782623765,173729,0.003154338078271331,10
heroin,200,30,0.7,0.0,0.0,0.0,0.001803457662269575,0.0005633759468534177,9.813381465121746e-05,0.3123865664494907,0.05441426028694248,0.0,0.3110069354915299,173729,0.003154338078271331,10
heroin,100,30,0.7,0.0,0.0,0.0,0.0012436541287591978,0.00018650251702614204,8.613040460457584e-05,0.14996333201757378,0.069255914978957,0.0,0.16819123240061928,173729,0.003154338078271331,10
heroin,50,30,0.7,0.0,0.0,0.0,0.0009527927358330814,0.00013011683251740582,5.644234126322696e-05,0.1365636277690942,0.05923884507145846,0.0,0.08411959626839256,173729,0.003154338078271331,10
heroin,30,30,0.7,0.0,0.0,0.0,0.000784820635136264,6.076927469555104e-05,6.076927469555104e-05,0.07743078096436648,0.07743078096436648,0.0,0.0693666781336821,173729,0.003154338078271331,10
methamphetamine,1500,30,0.7,0.004454342984409799,0.0,0.0,0.010636678283239633,0.003359575040584018,0.00010671976974256517,0.3158481389700155,0.010033185821811029,0.0,0.5403230178522054,173729,0.008593844435874264,10
methamphetamine,1000,30,0.7,0.0,0.0,0.0,0.008686665635635459,0.0023086994803444855,0.00011591374595811227,0.26577510602842447,0.013343871034082088,0.0,0.5185541510238497,173729,0.008593844435874264,10
methamphetamine,500,30,0.7,0.0,0.0,0.0,0.006368546719130879,0.0011469570615572282,6.416040377023512e-05,0.18009714180345282,0.01007457534660139,0.0,0.4086522782623765,173729,0.008593844435874264,10
methamphetamine,200,30,0.7,0.0,0.0,0.0,0.0037000344801521434,0.00042894431781280624,9.758164791746636e-05,0.11592981636083788,0.02637317258553057,0.0,0.3110069354915299,173729,0.008593844435874264,10
methamphetamine,100,30,0.7,0.0,0.0,0.0,0.0028748750847355144,0.00017940036343787303,6.520989342011712e-05,0.062402837740818805,0.02268268759444773,0.0,0.16819123240061928,173729,0.008593844435874264,10
methamphetamine,50,30,0.7,0.0,0.0,0.0,0.002375317214388335,0.00012207544429197476,7.301454846252974e-05,0.05139332277495841,0.030738862169755136,0.0,0.08411959626839256,173729,0.008593844435874264,10
methamphetamine,30,30,0.7,0.0,0.0,0.0,0.002046469036207642,6.0435688827379115e-05,6.0435688827379115e-05,0.029531689831659443,0.029531689831659443,0.0,0.0693666781336821,173729,0.008593844435874264,10
inhalants,1500,30,0.7,0.0,0.0,0.0,0.006197038514387746,0.0031097790985911856,5.5124845952218225e-05,0.5018169713438395,0.00889535313105351,0.0,0.5403230178522054,173729,0.012467693937108946,10
inhalants,1000,30,0.7,0.0,0.0,0.0,0.004997985417884476,0.0021939549980294587,6.700921407123449e-05,0.4389678669687087,0.013407244813370791,0.0,0.5185541510238497,173729,0.012467693937108946,10
inhalants,500,30,0.7,0.0,0.0,0.0,0.003175994835131186,0.0009954074559160755,7.2805052959439e-05,0.31341595550011647,0.02292354261855459,0.0,0.4086522782623765,173729,0.012467693937108946,10
inhalants,200,30,0.7,0.0,0.0,0.0,0.0016938727265736748,0.00042458709307027927,5.837424243781892e-05,0.2506605640490616,0.03446200031562993,0.0,0.3110069354915299,173729,0.012467693937108946,10
inhalants,100,30,0.7,0.0,0.0,0.0,0.0011826661571546038,0.00019770433731247628,5.760921203389002e-05,0.16716833919399238,0.04871130511799965,0.0,0.16819123240061928,173729,0.012467693937108946,10
inhalants,50,30,0.7,0.0,0.0,0.0,0.00049514515730224,0.00017069908746681215,7.900552676251834e-05,0.34474554572411226,0.15956033417144544,0.0,0.08411959626839256,173729,0.012467693937108946,10
inhalants,30,30,0.7,0.0,0.0,0.0,0.00018162179367179325,7.262814127461802e-05,7.2628141274618e-05,0.39988670856242914,0.399886708562429,0.0,0.0693666781336821,173729,0.012467693937108946,10
hallucinogens,1500,30,0.7,0.0,0.0,0.0,0.015095384497203513,0.0031506417478088748,7.698019009585506e-05,0.2087155678871608,0.005099584585613966,0.0,0.5403230178522054,173729,0.037564252370070626,10
hallucinogens,1000,30,0.7,0.0,0.0,0.0,0.01175707848856249,0.0022724168888719025,0.0001045447302506905,0.19328074496419778,0.008892067051554825,0.0,0.5185541510238497,173729,0.037564252370070626,10
hallucinogens,500,30,0.7,0.0,0.0,0.0,0.008085813604823536,0.0010708670120500368,7.384819537885237e-05,0.132437756345412,0.00913305685587394,0.0,0.4086522782623765,173729,0.037564252370070626,10
hallucinogens,200,30,0.7,0.0,0.0,0.0,0.003842866437428874,0.0004539947841846485,7.161923847322127e-05,0.1181396209253633,0.018636931477935822,0.0,0.3110069354915299,173729,0.037564252370070626,10
hallucinogens,100,30,0.7,0.0,0.0,0.0,0.0021695417134199265,0.0002340996533635296,8.911128753786841e-05,0.10790281279934918,0.04107378391789439,0.0,0.16819123240061928,173729,0.037564252370070626,10
hallucinogens,50,30,0.7,0.0,0.0,0.0,0.001548951289435063,0.0001468360005186613,0.0001114083356803614,0.09479704205044154,0.0719250091595808,0.0,0.08411959626839256,173729,0.037564252370070626,10
hallucinogens,30,30,0.7,0.0,0.0,0.0,0.00103673209199883,8.563464988578095e-05,8.563464988578095e-05,0.08260055856926013,0.08260055856926013,0.0,0.0693666781336821,173729,0.037564252370070626,10
tobacco,1500,30,0.7,0.002114413250323035,0.0,0.0,0.060290886732809836,0.0033369245078338043,0.00012572850177912528,0.05534707961125202,0.0020853649463859155,0.0,0.5403230178522054,173729,0.16289163006751894,10
tobacco,1000,30,0.7,0.0018801410105757932,0.0,0.0,0.04656489311034564,0.002256371797073871,9.96968432260192e-05,0.04845650116122692,0.002141030217545348,0.0,0.5185541510238497,173729,0.16289163006751894,10
tobacco,500,30,0.7,0.0,0.0,0.0,0.03378852994031925,0.0010588686164416093,5.68955114894857e-05,0.0313381084738487,0.0016838705794534523,0.0,0.4086522782623765,173729,0.16289163006751894,10
tobacco,200,30,0.7,0.0,0.0,0.0,0.019454613715747613,0.0005347281714343972,0.00014005077889204772,0.02748593106228367,0.00719884655323087,0.0,0.3110069354915299,173729,0.16289163006751894,10
tobacco,100,30,0.7,0.0,0.0,0.0,0.014183807119128653,0.0002570461663964805,8.081533878348448e-05,0.01812250859290249,0.005697718398503516,0.0,0.16819123240061928,173729,0.16289163006751894,10
tobacco,50,30,0.7,0.0,0.0,0.0,0.012807188727695365,0.00010005021180321978,6.565878308519437e-05,0.007812035406869785,0.005126713167208053,0.0,0.08411959626839256,173729,0.16289163006751894,10
tobacco,30,30,0.7,0.0,0.0,0.0,0.010363596454513485,8.386748100393845e-05,8.386748100393845e-05,0.008092507400499277,0.008092507400499277,0.0,0.0693666781336821,173729,0.16289163006751894,10
nicotine_vaping,1500,30,0.7,0.0,0.0,0.0,0.05814099012616515,0.0044310293457715064,7.643289835493209e-05,0.07621179715302807,0.0013146129467192379,0.0,0.558081364612609,115739,0.1784532439367888,10
nicotine_vaping,1000,30,0.7,0.0,0.0,0.0,0.04577857283832881,0.0029626273061507348,9.969218073343356e-05,0.06471646280047921,0.0021777039901507097,0.0,0.5272814659328364,115739,0.1784532439367888,10
nicotine_vaping,500,30,0.7,0.0,0.0,0.0,0.03131549961642405,0.0016610050358399128,7.316843351051977e-05,0.05304098788731332,0.002336492612499949,0.0,0.42271189952752897,115739,0.1784532439367888,10
nicotine_vaping,200,30,0.7,0.0,0.0,0.0,0.017371514003746726,0.0006186365332088966,0.00012578842001988893,0.03561212529175452,0.007241074093643111,0.0,0.31793548401737304,115739,0.1784532439367888,10
nicotine_vaping,100,30,0.7,0.0,0.0,0.0,0.012488460458049144,0.0003302750088770521,0.00016774277008300802,0.026446415071457514,0.013431821371936471,0.0,0.1822231363940486,115739,0.1784532439367888,10
nicotine_vaping,50,30,0.7,0.0,0.0,0.0,0.008369742287180962,0.00014937247819028126,0.0001061993471298873,0.017846723718012093,0.012688484721033939,0.0,0.1061285579609759,115739,0.1784532439367888,10
nicotine_vaping,30,30,0.7,0.0,0.0,0.0,0.005311836410741256,0.00011533106611264496,0.00011533106611264496,0.02171208922764072,0.02171208922764072,0.0,0.07153655796291306,115739,0.1784532439367888,10
