drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
marijuana,639,30,0.7,0.3987220008245156,0.01480548117813829,0.37350471928260176,0.039295271960494954,0.0013803722800578456,6.349002876921968e-05,0.035128202737611455,0.0016157167415216936,0.25890455281646146,0.44263480583665477,173729,0.2363278439408504,1,0.4409028347578777
marijuana,639,30,0.7,0.3987220008245156,0.01480548117813829,0.37350471928260176,0.039295271960494954,0.0013803722800578456,6.349002876921968e-05,0.035128202737611455,0.0016157167415216936,0.25890455281646146,0.44263480583665477,173729,0.2363278439408504,1,0.4409028347578777
marijuana,500,30,0.7,0.3987103157679251,0.3816368390561636,0.3740438508322118,0.033961587639407334,0.0011723800687708404,7.8670690618848e-05,0.03452076743934282,0.00231646092209077,0.2637002377738062,0.4184433582234952,173729,0.2363278439408504,1,0.4409028347578777
marijuana,200,30,0.7,0.3882672037160351,0.38016869609335363,0.3743313691860959,0.016369444194309746,0.00043753410952851435,7.702538970941501e-05,0.026728708949116765,0.004705437081131328,0.2920057267272227,0.2819316024434609,173729,0.2363278439408504,1,0.4409028347578777
marijuana,100,30,0.7,0.3954599089734225,0.3813065263290581,0.37160177918219445,0.011052527670744132,0.00025164882350118916,8.965924796491918e-05,0.022768440939288453,0.00811210346048224,0.3169075321398294,0.17258740009446105,173729,0.2363278439408504,1,0.4409028347578777
marijuana,50,30,0.7,0.3702213279678068,0.3769928307198743,0.3759523295765764,0.0047273498041412836,0.00017139854972367946,0.00010927638243382566,0.03625679436151093,0.023115780926153733,0.34768252822754825,0.08130923774957821,173729,0.2363278439408504,1,0.4409028347578777
marijuana,30,30,0.7,0.3307784130175284,0.37231082456735665,0.37231082456735665,0.003614835143632553,7.845088545328858e-05,7.845088545328858e-05,0.021702479459257767,0.021702479459257767,0.3484862746493553,0.06836581997949116,173729,0.2363278439408504,1,0.4409028347578777
cocaine,639,30,0.7,0.04237214927436075,0.03803914117423523,0.03272958373053702,0.01013308479996462,0.0015687176401716638,0.00012811791443115083,0.154811458814313,0.012643525339055503,0.02268736592110401,0.44263480583665477,173729,0.019357735323405994,1,0.4409028347578777
cocaine,639,30,0.7,0.04237214927436075,0.03803914117423523,0.03272958373053702,0.01013308479996462,0.0015687176401716638,0.00012811791443115083,0.154811458814313,0.012643525339055503,0.02268736592110401,0.44263480583665477,173729,0.019357735323405994,1,0.4409028347578777
cocaine,500,30,0.7,0.04237214927436075,0.038022669547746316,0.012165450121654502,0.008858294207835111,0.0011710894495584898,7.45215977574171e-05,0.13220259138860704,0.008412635210456565,0.008576620314885826,0.4184433582234952,173729,0.019357735323405994,1,0.4409028347578777
cocaine,200,30,0.7,0.042332304112408826,0.038000730783284295,0.03802281368821293,0.004511599967280672,0.0005678986660078628,5.3809017595567404e-05,0.12587522611189284,0.011926814874059041,0.02966056349319925,0.2819316024434609,173729,0.019357735323405994,1,0.4409028347578777
cocaine,100,30,0.7,0.044691929418571016,0.037980076690539474,0.037810741687979536,0.003167671012500452,0.0002689138135226738,8.382161686300911e-05,0.08489322674654977,0.02646159166536779,0.03224556368670991,0.17258740009446105,173729,0.019357735323405994,1,0.4409028347578777
