group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.4153650038242543,0.39822858641813386,0.1052375448628262,0.038761922583588224,0.0014251460324483309,0.00013002691564529406,0.036766649780466176,0.00335450119546824,0.07493110905729299,0.4044573233576545,173729,0.24872646478135488,3,0.4052837335586774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.4153650038242543,0.39822858641813386,0.1052375448628262,0.038761922583588224,0.0014251460324483309,0.00013002691564529406,0.036766649780466176,0.00335450119546824,0.07493110905729299,0.4044573233576545,173729,0.24872646478135488,3,0.4052837335586774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",500,30,0.7,0.4147080611488989,0.39780864197530863,0.387906834305936,0.033450813670464874,0.001208032559212778,9.525986254286297e-05,0.03611369729637999,0.0028477592049419086,0.28101322211587026,0.3803864152199581,173729,0.24872646478135488,3,0.4052837335586774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.4045666505869111,0.39620017070780517,0.07789831394588943,0.01614016299894526,0.0005223595977814582,0.00010846075822030891,0.03236396050124115,0.006719929546399048,0.06412556527941765,0.2147778129745767,173729,0.24872646478135488,3,0.4052837335586774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",100,30,0.7,0.41022122498933744,0.053593345152052364,0.05345028438292332,0.010869994790424851,0.00023863824900154367,6.732937661543467e-05,0.021953851276152868,0.006194057854999498,0.04806017305815422,0.11215338984000131,173729,0.24872646478135488,3,0.4052837335586774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",50,30,0.7,0.38258113350364276,0.047022815804117976,0.3928933193986655,0.004754605989759123,0.00015169428638119487,5.8806023759609086e-05,0.0319047018213343,0.01236822228514214,0.3798666033073782,0.03429287012300582,173729,0.24872646478135488,3,0.4052837335586774
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.341165210410942,0.3952234818972508,0.3952234818972508,0.0036211629963585007,7.377930469168632e-05,7.377930469168632e-05,0.02037447769290694,0.02037447769290694,0.3869244230946389,0.02144878510442841,173729,0.24872646478135488,3,0.4052837335586774
