group,members,n,prevalence,B,alpha,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.4153650038242543,0.056406347446469406,0.22145178764897075,0.46702914422655706,0.3156982271685029,0.3163571666851996,-0.3589586563777849,-0.19391321617528354,-0.15133091705805418,-0.15067197754135747,0.02937333433105584,0.9706266656689442,0.08137961998284685,0.9186203800171532,1.0,1.0,5,5,5,5,5,5,0.038761922583588224,0.0003185658960123158,9.641527911471775e-05,0.008218526708146217,0.0024873709219867214
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.4377513087019194,0.10376853009465976,0.14042553191489363,0.49712523956336974,0.3324153572007128,0.32440601125010493,-0.33398277860725967,-0.29732577678702576,-0.16470988236265693,-0.1727192283132648,0.028305065708188252,0.9716949342918118,0.08231451801035088,0.9176854819896492,1.0,1.0,5,5,5,5,5,5,0.0581650287371821,0.00044136899442304096,0.0001479704054014395,0.00758821931331558,0.0025439754542208133
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.4872345648705045,0.4748643200496201,0.12115627121932292,0.47861176413562445,0.38141033464326685,0.38017707820954255,-0.01237024482088439,-0.36607829365118155,-0.0972014294923576,-0.0984346859260819,0.029327285599986184,0.9706727144000138,0.08152352226743952,0.9184764777325605,1.0,1.0,5,5,5,5,5,5,0.02312494244032078,0.00030984616007752146,8.900721336208787e-05,0.013398786218696569,0.003848970158165427
