group,members,n,prevalence,B,alpha,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.4153650038242543,0.3983096593099832,0.39159920524146535,0.46702914422655706,0.335164558237992,0.3175177325006358,-0.017055344514271098,-0.023765798582788933,-0.13186458598856504,-0.14951141172592125,0.0029989236109112466,0.9970010763890887,0.04424131837517052,0.9557586816248295,1.0,1.0,5,5,5,5,5,5,0.038761922583588224,0.0013871014246915744,8.01838263100596e-05,0.03578515543702346,0.002068623560586992,3,0.4052837335586774
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.4377513087019194,0.41185103650706295,0.40220606668337927,0.49712523956336974,0.3477445723499194,0.3403935706774823,-0.025900272194856466,-0.035545242018540146,-0.14938066721345034,-0.1567316688858874,0.0031190869110671424,0.9968809130889329,0.036884714746109784,0.9631152852538902,1.0,1.0,5,5,5,5,5,5,0.0581650287371821,0.0022700675830845986,7.117422558625347e-05,0.0390280488528918,0.0012236601121243015,3,0.4052837335586774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.4872345648705045,0.017576751816264353,0.17931512186674747,0.47861176413562445,0.3936771500269706,0.37313207547169813,-0.46965781305424015,-0.307919443003757,-0.08493461410865383,-0.10547968866392632,0.0028032165038652155,0.9971967834961348,0.05011828767793518,0.9498817123220649,1.0,1.0,5,5,5,5,5,5,0.02312494244032078,0.001652193887645794,0.00010184934928178513,0.07144640000335827,0.004404307147774778,3,0.4052837335586774
