drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,639,30,0.7,0.04237214927436075,0.03798818822632882,0.03751696362124064,0.01013308479996462,0.0017036475153351554,6.486890685503577e-05,0.16812723360818058,0.0064016938706821305,0.026745786880254488,0.40272424173611265,173729,0.019357735323405994,10,0.4003606511606134
cocaine,639,30,0.7,0.04237214927436075,0.03798818822632882,0.03751696362124064,0.01013308479996462,0.0017036475153351554,6.486890685503577e-05,0.16812723360818058,0.0064016938706821305,0.026745786880254488,0.40272424173611265,173729,0.019357735323405994,10,0.4003606511606134
cocaine,500,30,0.7,0.04237214927436075,0.03802007247339164,0.037473046214814384,0.008858294207835111,0.001124166112796531,6.469737208026488e-05,0.1269054838799791,0.007303592606242455,0.02718237698956317,0.3785787103608479,173729,0.019357735323405994,10,0.4003606511606134
cocaine,200,30,0.7,0.042332304112408826,0.037932560063092695,0.03860716280801937,0.004511599967280672,0.0005674885018535862,0.00011547936453765243,0.125784312875513,0.025596100136346226,0.03188519330919396,0.21081790013445373,173729,0.019357735323405994,10,0.4003606511606134
cocaine,100,30,0.7,0.044691929418571016,0.03824247355573637,0.03760363850020673,0.003167671012500452,0.0002648680155157357,8.134988509604266e-05,0.08361601140727612,0.02568129227278177,0.03409745190366618,0.10282840507984028,173729,0.019357735323405994,10,0.4003606511606134
cocaine,50,30,0.7,0.045279033695257584,0.027708850289495452,0.03790023959921586,0.001493650399688755,0.0001509501361993523,8.880653481005089e-05,0.10106122304845036,0.05945603792464173,0.036779307052197674,0.030477261179155557,173729,0.019357735323405994,10,0.4003606511606134
cocaine,30,30,0.7,0.0492091388400703,0.037682032740785375,0.037682032740785375,0.0011948707621762802,7.229373041727586e-05,7.229373041727586e-05,0.060503388906766396,0.060503388906766396,0.03701849271105505,0.0179245555703616,173729,0.019357735323405994,10,0.4003606511606134
