drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
inhalants,639,30,0.7,0.026549218959023648,0.02456644629682859,0.024006570219217892,0.005385106667635345,0.0014055650671331963,6.307812902713135e-05,0.2610096983929186,0.011713440962317948,0.017093129011442703,0.4044573233576545,173729,0.012467693937108946,3,0.4052837335586774
inhalants,639,30,0.7,0.026549218959023648,0.02456644629682859,0.024006570219217892,0.005385106667635345,0.0014055650671331963,6.307812902713135e-05,0.2610096983929186,0.011713440962317948,0.017093129011442703,0.4044573233576545,173729,0.012467693937108946,3,0.4052837335586774
inhalants,500,30,0.7,0.026570945248999462,0.024717064800354755,0.0247585255273014,0.0047028620549306255,0.0011412119105069117,8.937247537882872e-05,0.2426632755069713,0.019003847940878442,0.017935938266500723,0.3803864152199581,173729,0.012467693937108946,3,0.4052837335586774
inhalants,200,30,0.7,0.026072945656950345,0.024459295495252584,0.024298099101248707,0.0022319845390891342,0.0004622034209326596,6.888473743896047e-05,0.20708182016407845,0.030862551345034007,0.02000209325666802,0.2147778129745767,173729,0.012467693937108946,3,0.4052837335586774
inhalants,100,30,0.7,0.027659132362108374,0.0,0.024340123296690143,0.0016202536035315723,0.00018862055076310555,6.899988351573904e-05,0.11641421463404268,0.04258585406959998,0.021885581178862214,0.11215338984000131,173729,0.012467693937108946,3,0.4052837335586774
inhalants,50,30,0.7,0.028409660286601864,0.024236472552293036,0.02916160388821385,0.0009287244934430101,0.00011974158853140103,7.141966652308464e-05,0.12893122705043505,0.07690081076500348,0.02819472581759723,0.03429287012300582,173729,0.012467693937108946,3,0.4052837335586774
inhalants,30,30,0.7,0.029675442578302316,0.022484913614945853,0.022484913614945853,0.0007377620424283759,9.932295066347822e-05,9.932295066347822e-05,0.13462735265771114,0.13462735265771114,0.022012766516382017,0.02144878510442841,173729,0.012467693937108946,3,0.4052837335586774
