drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,30,30,0.7,0.0492091388400703,0.037682032740785375,0.037682032740785375,0.0011948707621762802,7.229373041727586e-05,7.229373041727586e-05,0.060503388906766396,0.060503388906766396,0.03701849271105505,0.0179245555703616,173729,0.019357735323405994,10,0.4003606511606134
crack,30,30,0.7,0.009963179553822829,0.0063004225893200155,0.0063004225893200155,0.00102089289490052,0.00011133599149145077,0.00011133599149145075,0.10905746533019,0.10905746533018999,0.006189478930282584,0.0179245555703616,173729,0.0028895578746208177,10,0.4003606511606134
hallucinogens,30,30,0.7,0.0815896239976999,0.07234351984785486,0.07234351984785486,0.0009774999245810213,5.966503893681561e-05,5.966503893681561e-05,0.061038407713831185,0.061038407713831185,0.0710696283452161,0.0179245555703616,173729,0.037564252370070626,10,0.4003606511606134
heroin,50,30,0.7,0.008182636445462728,0.00610154717803443,0.006462984723854289,0.001038095078058747,0.00017223937081868373,9.008751398703575e-05,0.16591868554157282,0.08678156354955532,0.0062718363299533834,0.030477261179155557,173729,0.003154338078271331,10,0.4003606511606134
inhalants,50,30,0.7,0.028409660286601864,0.024646082258764145,0.024545763457194825,0.0009287244934430101,0.00015296928698527412,7.294703689562655e-05,0.16470900473204853,0.07854540007359334,0.02381980115612408,0.030477261179155557,173729,0.012467693937108946,10,0.4003606511606134
marijuana,30,30,0.7,0.3307784130175284,0.37641441559290995,0.37641441559290995,0.003614835143632553,7.173765278818277e-05,7.173765278818277e-05,0.0198453456209606,0.0198453456209606,0.36978616296568084,0.0179245555703616,173729,0.2363278439408504,10,0.4003606511606134
methamphetamine,50,30,0.7,0.022916951703379394,0.017081470607860146,0.01721346748908789,0.002166292269273781,0.0001225404897050263,8.297176148828862e-05,0.056566923790992554,0.03830127756311651,0.016704364217984633,0.030477261179155557,173729,0.008593844435874264,10,0.4003606511606134
nicotine_vaping,100,30,0.7,0.22625529340592862,0.3006415663420494,0.30015757637371016,0.01345390745013925,0.00035758225893334466,0.00012669993533234898,0.026578320109496786,0.009417333648377194,0.26920900434056666,0.11496113255554996,115739,0.1784532439367888,10,0.4003606511606134
opioid_misuse,500,30,0.7,0.3721040750861352,0.36281193518724036,0.3572603483067949,0.018236293330981215,0.0011281834567024873,0.00010209357808305466,0.061864735131554535,0.0055983733223686554,0.259151215394354,0.3785787103608479,173729,0.22239810279227992,10,0.4003606511606134
pain_reliever_misuse,30,30,0.7,0.36474991493705344,0.3516787312211269,0.3516787312211269,0.004154137341575107,8.239806477083173e-05,8.239806477083173e-05,0.019835180687499655,0.019835180687499655,0.34548604736632466,0.0179245555703616,173729,0.22173039619176993,10,0.4003606511606134
sedative_misuse,50,30,0.7,0.08844333621698641,0.08079579343902056,0.08193356141706214,0.001670962971867062,0.0001805385937907348,9.874651645193756e-05,0.10804464062360923,0.05909557429725834,0.07951030508262465,0.030477261179155557,173729,0.042117320654582714,10,0.4003606511606134
stimulant_misuse,50,30,0.7,0.14842175957018133,0.1466773175092244,0.14597742992355298,0.002097259226189446,9.936581447591078e-05,7.616319097726717e-05,0.04737889014151608,0.036315582750182804,0.14166002048071763,0.030477261179155557,173729,0.0796470364763511,10,0.4003606511606134
tobacco,50,30,0.7,0.31112289539970833,0.27456525893369005,0.27584263329951525,0.010738609785145636,0.00012291146586431562,7.497162943463772e-05,0.011445752133980601,0.006981502348501712,0.26768434752638187,0.030477261179155557,173729,0.16289163006751894,10,0.4003606511606134
tranquilizer_misuse,30,30,0.7,0.18263103802672148,0.17819247607034205,0.17819247607034205,0.003255478406919045,6.931212539152987e-05,6.931212539152982e-05,0.021290918485042644,0.021290918485042627,0.17505469840100044,0.0179245555703616,173729,0.09864213804258357,10,0.4003606511606134
