group,members,n,prevalence,B,alpha,acc_baseline,acc_rappor,acc_dpseg,delta_rappor,delta_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.7512999098217541,0.7512807229609164,0.7512807229609164,-1.9186860837683284e-05,-1.9186860837683284e-05,0.0011166817284391207,0.9988833182715608,0.036113717341376514,0.9638862826586235,0.4375,0.8518518518518519,13,11,13,5,5,5,0.04614280064273129,0.003694776052744749,9.173300019171219e-05,0.08007264408054031,0.0019880241102392332
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.7405967398191349,0.7403951385288866,0.7403951385288866,-0.00020160129024826556,-0.00020160129024826556,0.001261458972342944,0.998738541027657,0.03151919404867849,0.9684808059513215,0.6571428571428571,0.23404255319148937,15,15,15,5,5,5,0.0670518905553033,0.005650102853303836,0.00011414369633868087,0.08426463156387401,0.001702318836849753
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.6805003933306472,0.6805003933306472,0.6805003933306472,0.0,0.0,0.0011397060939739479,0.998860293906026,0.040206298315192054,0.9597937016848079,0.7058823529411765,0.45,16,14,14,5,5,5,0.02914650617731283,0.0035858614887445206,0.00010287318105133784,0.12302886208487306,0.0035295201567388085
