group,members,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.46704049200237735,0.32668206232647445,0.34571086767844994,0.038761922583588224,0.001369057171253304,5.6316279735592594e-05,0.03531964051321237,0.00145287632764214,0.2396385185493672,0.44263480583665477,173729,0.24872646478135488,1.0,0.4409028347578777
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.46704049200237735,0.32668206232647445,0.34571086767844994,0.038761922583588224,0.001369057171253304,5.6316279735592594e-05,0.03531964051321237,0.00145287632764214,0.2396385185493672,0.44263480583665477,173729,0.24872646478135488,1.0,0.4409028347578777
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",500,30,0.7,0.45570150191009473,0.33649059204983534,0.33633633633633636,0.033450813670464874,0.0011590274384719263,8.483579587789496e-05,0.03464870690112032,0.002536135494748818,0.2371165083092038,0.4184433582234952,173729,0.24872646478135488,1.0,0.4409028347578777
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.4044866855038959,0.32587740320604996,0.3321106686229302,0.01614016299894526,0.0004354201739750235,0.00011215166256132482,0.02697743349949302,0.006948607803319818,0.259070505781979,0.2819316024434609,173729,0.24872646478135488,1.0,0.4409028347578777
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",100,30,0.7,0.3852675313008815,0.3414140915928876,0.33274620525306947,0.010869994790424851,0.00024817708551268534,9.231999808073914e-05,0.022831389554234128,0.008493104169843934,0.28377091995553094,0.17258740009446105,173729,0.24872646478135488,1.0,0.4409028347578777
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",50,30,0.7,0.36996598266213104,0.3153263122037074,0.318910741301059,0.004754605989759123,0.0001529388434570872,7.663448471846839e-05,0.032166460015088515,0.0161179464467782,0.294930192185148,0.08130923774957821,173729,0.24872646478135488,1.0,0.4409028347578777
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.3346879916098584,0.299152212336359,0.299152212336359,0.0036211629963585007,8.137202255057997e-05,8.137202255058002e-05,0.02247123993932584,0.022471239939325854,0.28000915673444293,0.06836581997949116,173729,0.24872646478135488,1.0,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4967758144209028,0.3386279663276578,0.3426185958254269,0.0581650287371821,0.0021201037687771686,0.00011547870508842517,0.036449801793390815,0.0019853631571337157,0.23539433072250962,0.45550912281450284,115739,0.2595927042742723,1.0,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4967758144209028,0.3386279663276578,0.3426185958254269,0.0581650287371821,0.0021201037687771686,0.00011547870508842517,0.036449801793390815,0.0019853631571337157,0.23539433072250962,0.45550912281450284,115739,0.2595927042742723,1.0,0.4409028347578777
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.48436118711850135,0.3295864951507527,0.3413292589763178,0.04884532494027799,0.0014803341041424584,0.00012791522073722682,0.030306566819904002,0.0026187812424960976,0.23767934559868603,0.4360913781403678,115739,0.2595927042742723,1.0,0.4409028347578777
