group,members,n,prevalence,B,alpha,acc_baseline,acc_rappor,acc_dpseg,delta_rappor,delta_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.0015405946695424434,0.0,0.0,-0.0015405946695424434,-0.0015405946695424434,0.00122604746472955,0.9987739525352705,0.03607918079307427,0.9639208192069257,0.3333333333333333,0.23529411764705882,13,16,9,5,5,5,0.04614280064273129,0.003918106707032822,5.4315301850155207e-05,0.08491263322678329,0.0011771132461313074
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.00398097976335287,0.0,0.0,-0.00398097976335287,-0.00398097976335287,0.0011059366332869646,0.998894063366713,0.031856159116633115,0.9681438408833669,0.5675675675675675,0.3333333333333333,15,15,10,5,5,5,0.0670518905553033,0.0057989094324351195,0.00013969715707474236,0.08648390648511653,0.0020834186168027942
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0013123888354851523,0.9986876111645149,0.040062396030599384,0.9599376039694006,0.2,0.42105263157894735,16,9,12,5,5,5,0.02914650617731283,0.0033797250182805395,0.00013567404789638382,0.11595643737606064,0.004654899186578675
