drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
inhalants,639,30,0.7,0.026549218959023648,0.024573118382142517,0.023171135385633895,0.005385106667635345,0.0013877869502335128,9.0021982283324e-05,0.2577083493209437,0.01671684292241765,0.016520968238899442,0.4025288984622769,173729,0.012467693937108946,5,0.40247649792706774
inhalants,639,30,0.7,0.026549218959023648,0.024573118382142517,0.023171135385633895,0.005385106667635345,0.0013877869502335128,9.0021982283324e-05,0.2577083493209437,0.01671684292241765,0.016520968238899442,0.4025288984622769,173729,0.012467693937108946,5,0.40247649792706774
inhalants,500,30,0.7,0.026570945248999462,0.004629629629629629,0.02483184733302049,0.0047028620549306255,0.0011774844283592512,5.942120468559638e-05,0.25037613576709955,0.012635115381132083,0.018010619669052114,0.3787336465546146,173729,0.012467693937108946,5,0.40247649792706774
inhalants,200,30,0.7,0.026072945656950345,0.024593645033010307,0.024589821734229533,0.0022319845390891342,0.0004755108633316331,8.64412223780499e-05,0.21304397723368082,0.03872841449579498,0.020293150926230095,0.21173009670202259,173729,0.012467693937108946,5,0.40247649792706774
inhalants,100,30,0.7,0.027659132362108374,0.016299426501660125,0.013990090352666861,0.0016202536035315723,0.0001710921830402453,6.113448203331362e-05,0.10559592811108437,0.03773142790737348,0.012678892602258162,0.10341579438689859,173729,0.012467693937108946,5,0.40247649792706774
inhalants,50,30,0.7,0.028409660286601864,0.02472952086553323,0.024340861052397373,0.0009287244934430101,0.00014350436282552966,7.184338531598818e-05,0.1545176894102617,0.07735704810545814,0.02361968403957652,0.030532881456520194,173729,0.012467693937108946,5,0.40247649792706774
inhalants,30,30,0.7,0.029675442578302316,0.022465803061871546,0.022465803061871546,0.0007377620424283759,0.00011114100463495533,0.00011114100463495533,0.15064614095505627,0.15064614095505627,0.022064792305327725,0.018174236629773022,173729,0.012467693937108946,5,0.40247649792706774
