group,members,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.46704049200237735,0.3291002292573607,0.34370596804623504,0.038761922583588224,0.0015722029316175262,0.0001052086116817624,0.04056049924322371,0.0027142258347708395,0.2450274671384019,0.40272424173611265,173729,0.24872646478135488,10.0,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",500,30,0.7,0.45570150191009473,0.3385016094552424,0.3353395526131006,0.033450813670464874,0.0011286819849550267,9.114042554206163e-05,0.033741540521975026,0.0027246101227885325,0.24325020406366515,0.3785787103608479,173729,0.24872646478135488,10.0,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.4044866855038959,0.31896290166873537,0.34660804901433484,0.01614016299894526,0.0004744820059893313,9.718657801536298e-05,0.029397596915244174,0.0060214124245036435,0.28625943585393493,0.21081790013445373,173729,0.24872646478135488,10.0,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",100,30,0.7,0.3852675313008815,0.3203540315622478,0.33843927751721387,0.010869994790424851,0.0003041704062964326,0.00013849833058724722,0.027982571487924712,0.012741342866994515,0.30688298919242313,0.10282840507984028,173729,0.24872646478135488,10.0,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",50,30,0.7,0.36996598266213104,0.3474498982765475,0.3261159404831742,0.004754605989759123,0.00011667397630564405,6.909816048460528e-05,0.024539147209452567,0.014532888873112685,0.31647077792867156,0.030477261179155557,173729,0.24872646478135488,10.0,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.3346879916098584,0.35756367857377513,0.35756367857377513,0.0036211629963585007,5.8484982788707326e-05,5.8484982788707326e-05,0.016150883803772643,0.016150883803772643,0.3512673671315707,0.0179245555703616,173729,0.24872646478135488,10.0,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4967758144209028,0.339087309215332,0.3254165478469874,0.0581650287371821,0.002296758879120504,0.00011179245923857543,0.03948693792447655,0.0019219875183713595,0.23145858247220563,0.4059385673722625,115739,0.2595927042742723,10.0,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.48436118711850135,0.3416950710428555,0.3413233923578751,0.04884532494027799,0.0016639915036503043,9.427026147598716e-05,0.03406654589123579,0.0019299751120757033,0.24663993472508683,0.38389345885258064,115739,0.2595927042742723,10.0,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.4347638186611349,0.3491549140184851,0.3119178201445112,0.024800723587938486,0.000717688483667655,0.00011615549394883469,0.02893820743265304,0.004683552620429406,0.2545590594286123,0.22532594536076359,115739,0.2595927042742723,10.0,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",100,30,0.7,0.4048957043527955,0.35390297249811753,0.3374737244410472,0.016369224450252063,0.00038903912785658923,0.00013204334516331555,0.023766497248475238,0.00806656085415716,0.3026775683808273,0.11496113255554996,115739,0.2595927042742723,10.0,0.4003606511606134
