group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.4153650038242543,0.009984116178806445,0.08591735329265991,0.038761922583588224,0.0015722029316175262,0.0001052086116817624,0.04056049924322371,0.0027142258347708395,0.06125035180565669,0.40272424173611265,173729,0.24872646478135488,10,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",639,30,0.7,0.4153650038242543,0.009984116178806445,0.08591735329265991,0.038761922583588224,0.0015722029316175262,0.0001052086116817624,0.04056049924322371,0.0027142258347708395,0.06125035180565669,0.40272424173611265,173729,0.24872646478135488,10,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",500,30,0.7,0.4147080611488989,0.3976151125252931,0.39086387916743415,0.033450813670464874,0.0011286819849550267,9.114042554206163e-05,0.033741540521975026,0.0027246101227885325,0.2835267048808001,0.3785787103608479,173729,0.24872646478135488,10,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.4045666505869111,0.028484231943031537,0.22996831145314622,0.01614016299894526,0.0004744820059893313,9.718657801536298e-05,0.029397596915244174,0.0060214124245036435,0.1899280737653529,0.21081790013445373,173729,0.24872646478135488,10,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",100,30,0.7,0.41022122498933744,0.040632054176072234,0.06818486269256531,0.010869994790424851,0.0003041704062964326,0.00013849833058724722,0.027982571487924712,0.012741342866994515,0.0618272637687719,0.10282840507984028,173729,0.24872646478135488,10,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",50,30,0.7,0.38258113350364276,0.039603960396039604,0.39624743109047267,0.004754605989759123,0.00011667397630564405,6.909816048460528e-05,0.024539147209452567,0.014532888873112685,0.38452806870969114,0.030477261179155557,173729,0.24872646478135488,10,0.4003606511606134
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,30,0.7,0.341165210410942,0.39476939388584553,0.39476939388584553,0.0036211629963585007,5.8484982788707326e-05,5.8484982788707326e-05,0.016150883803772643,0.016150883803772643,0.38781792985104785,0.0179245555703616,173729,0.24872646478135488,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4377513087019194,0.4121941729796535,0.1474492243723013,0.0581650287371821,0.002296758879120504,0.00011179245923857543,0.03948693792447655,0.0019219875183713595,0.10487600795238722,0.4059385673722625,115739,0.2595927042742723,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4377513087019194,0.4121941729796535,0.1474492243723013,0.0581650287371821,0.002296758879120504,0.00011179245923857543,0.03948693792447655,0.0019219875183713595,0.10487600795238722,0.4059385673722625,115739,0.2595927042742723,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.4338589795098433,0.4119956830237204,0.4034238370932322,0.04884532494027799,0.0016639915036503043,9.427026147598716e-05,0.03406654589123579,0.0019299751120757033,0.29151365266782936,0.38389345885258064,115739,0.2595927042742723,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.42660253923926256,0.023711231078649305,0.08722856091277144,0.024800723587938486,0.000717688483667655,0.00011615549394883469,0.02893820743265304,0.004683552620429406,0.07118804693806542,0.22532594536076359,115739,0.2595927042742723,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",100,30,0.7,0.42635546113326156,0.4115684605296459,0.40070316679829815,0.016369224450252063,0.00038903912785658923,0.00013204334516331555,0.023766497248475238,0.00806656085415716,0.3593875652686343,0.11496113255554996,115739,0.2595927042742723,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",50,30,0.7,0.4173686778337941,0.1721419185282523,0.0337309749074455,0.00940601574490652,0.00011474189271020417,5.817498070577313e-05,0.012198777444353992,0.0061848695859642415,0.03255407881261897,0.036152031872894806,115739,0.2595927042742723,10,0.4003606511606134
nicotine,"tobacco,nicotine_vaping",30,30,0.7,0.3900504987270982,0.15023915941347135,0.15023915941347135,0.006992898468965434,7.786382434068757e-05,7.786382434068757e-05,0.011134699679431662,0.011134699679431662,0.14689054444000443,0.022796667996792863,115739,0.2595927042742723,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",639,30,0.7,0.4872345648705045,0.00688999762413875,0.4738948405368797,0.02312494244032078,0.0015034149042757448,6.156794668262834e-05,0.06501269822208863,0.002662404321287223,0.33783891832535334,0.40272424173611265,173729,0.3195033644354138,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",639,30,0.7,0.4872345648705045,0.00688999762413875,0.4738948405368797,0.02312494244032078,0.0015034149042757448,6.156794668262834e-05,0.06501269822208863,0.002662404321287223,0.33783891832535334,0.40272424173611265,173729,0.3195033644354138,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",500,30,0.7,0.48851618914511996,0.009103807046583116,0.21321103869981495,0.021098258323166048,0.001107443634039528,9.175711333679875e-05,0.05248981300146214,0.0043490373438099745,0.15466004015396856,0.3785787103608479,173729,0.3195033644354138,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",200,30,0.7,0.48812376763233734,0.025725327334602296,0.09802306425041186,0.011953532387043098,0.0005032130765490082,0.00013096104809895946,0.04209743699648654,0.010955845005357016,0.08095607460009224,0.21081790013445373,173729,0.3195033644354138,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",100,30,0.7,0.4859601232380314,0.026471773033319906,0.47895535985423626,0.007011919025747013,0.00020362196788142629,9.860336520872768e-05,0.02903940663515199,0.014062250982458115,0.4342972647857777,0.10282840507984028,173729,0.3195033644354138,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",50,30,0.7,0.4578035585242476,0.20834016057676552,0.27561397440332064,0.004107915383927057,0.00012268646136053235,8.578302450910512e-05,0.02986586866919527,0.020882373781297033,0.267462451415901,0.030477261179155557,173729,0.3195033644354138,10,0.4003606511606134
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,30,0.7,0.4346982853616609,0.48033920999776836,0.48033920999776836,0.0034370182485666707,7.357325255287375e-05,7.357325255287375e-05,0.02140612799584517,0.02140612799584517,0.4718809536219761,0.0179245555703616,173729,0.3195033644354138,10,0.4003606511606134
