drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.3987220008245156,0.3819839476350035,0.11710831603370375,0.45853000674308836,0.3188390747903741,0.3296826871363614,0.4409028347578777,1
cocaine,173729,0.019357735323405994,30,0.7,0.04237214927436075,0.037926195623317026,0.024550898203592814,0.06908256880733946,0.0371273499567372,0.03761202261133324,0.4409028347578777,1
crack,173729,0.0028895578746208177,30,0.7,0.006547579812361304,0.005333333333333333,0.005655117483074472,0.012658227848101266,0.005723937318194614,0.005418128525114358,0.4409028347578777,1
heroin,173729,0.003154338078271331,30,0.7,0.007153515316422365,0.0043859649122807015,0.006243741532661836,0.01611295681063123,0.00661754974191556,0.00645766066034788,0.4409028347578777,1
methamphetamine,173729,0.008593844435874264,30,0.7,0.01911978501255562,0.01705855232826187,0.016843222895200405,0.04434250764525994,0.01667703795892968,0.01666347966235966,0.4409028347578777,1
inhalants,173729,0.012467693937108946,30,0.7,0.026549218959023648,0.024782291786550045,0.02542056074766355,0.039951573849878935,0.023789028875498865,0.025522884030046634,0.4409028347578777,1
hallucinogens,173729,0.037564252370070626,30,0.7,0.07851967085601998,0.07232692666542265,0.07273909421541337,0.12186291450670617,0.07263265075234755,0.07050359712230216,0.4409028347578777,1
tobacco,173729,0.16289163006751894,30,0.7,0.302540500736377,0.012026321760835035,0.13347265761058866,0.40186823015005463,0.24588338704951657,0.24865750946809112,0.4409028347578777,1
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.3278776929921536,0.010344827586206896,0.08476853548308294,0.4122025176881375,0.25402356825163924,0.26976744186046514,0.4409028347578777,1
opioid_misuse,173729,0.22239810279227992,30,0.7,0.37221374045801525,0.36368787182473483,0.15542652970075926,0.3906582997868814,0.3040521864116314,0.29236650063709024,0.4409028347578777,1
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.12740167633784655,0.17960399509374453,0.17830544275907279,0.25456872644528195,0.15944262075433777,0.16673760676484775,0.4409028347578777,1
sedative_misuse,173729,0.042117320654582714,30,0.7,0.11339846475924634,0.014964459408903853,0.07541098286114026,0.12302779864763336,0.07517177344475394,0.08005294659300184,0.4409028347578777,1
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.11082547843473294,0.14766825507308454,0.1472580208212392,0.1956482647005934,0.13845949711404498,0.1374908709872035,0.4409028347578777,1
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.3726790450928382,0.3625362410185302,0.3524301602592171,0.39089161959117114,0.3028230659809607,0.322940020802034,0.4409028347578777,1
