drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
hallucinogens,639,30,0.7,0.07851967085601998,0.07240642704560231,0.07231487658438959,0.013547617218109237,0.0014935200894358727,5.9289219764829186e-05,0.11024227104966247,0.004376357761686438,0.05148955071949461,0.4044573233576545,173729,0.037564252370070626,3,0.4052837335586774
hallucinogens,639,30,0.7,0.07851967085601998,0.07240642704560231,0.07231487658438959,0.013547617218109237,0.0014935200894358727,5.9289219764829186e-05,0.11024227104966247,0.004376357761686438,0.05148955071949461,0.4044573233576545,173729,0.037564252370070626,3,0.4052837335586774
hallucinogens,500,30,0.7,0.07664979656643843,0.07222812016911587,0.06934965089825057,0.011450966754030288,0.001143107625014149,0.00010877388618942254,0.09982629847491438,0.009499100689567405,0.050239302657292546,0.3803864152199581,173729,0.037564252370070626,3,0.4052837335586774
hallucinogens,200,30,0.7,0.07651872771124076,0.07207623447877563,0.07204654501492312,0.005335992271863865,0.0004465817006466753,5.9713759058359e-05,0.0836923439716085,0.011190750663793774,0.059308413641919994,0.2147778129745767,173729,0.037564252370070626,3,0.4052837335586774
hallucinogens,100,30,0.7,0.08082950394721339,0.07255929243422905,0.05513784461152882,0.0032996452795623285,0.00021255667874870977,7.862134945732448e-05,0.06441803913446834,0.02382721256260399,0.04957755388351706,0.11215338984000131,173729,0.037564252370070626,3,0.4052837335586774
hallucinogens,50,30,0.7,0.09065394330620263,0.06215223097112861,0.06529684073743199,0.0014036003571049162,0.00014568034634518276,0.00010565861066121979,0.10379047398197082,0.07527684794776811,0.06313186779453135,0.03429287012300582,173729,0.037564252370070626,3,0.4052837335586774
hallucinogens,30,30,0.7,0.0815896239976999,0.07209401213808032,0.07209401213808032,0.0009774999245810213,6.118450757395383e-05,6.118450757395383e-05,0.06259285145231996,0.06259285145231996,0.07058015359106795,0.02144878510442841,173729,0.037564252370070626,3,0.4052837335586774
