group,members,n,prevalence,B,alpha,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.0015405946695424434,0.0,0.0,0.0,0.0,0.0,-0.0015405946695424434,-0.0015405946695424434,0.0,0.0,0.0011397060939739479,0.998860293906026,0.036142497798295044,0.963857502201705,0.35,0.23809523809523808,13,15,14,5,5,5,0.04614280064273129,0.003293590682062613,6.555212721823765e-05,0.07137821363648503,0.0014206360755123313
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.00398097976335287,0.0,0.0,0.028292787482584934,0.0,0.0,-0.00398097976335287,-0.00398097976335287,-0.028292787482584934,-0.028292787482584934,0.0013392201418709337,0.9986607798581291,0.031994401195793984,0.968005598804206,0.16666666666666666,0.2631578947368421,15,14,10,5,5,5,0.0670518905553033,0.005322086012604593,9.073927206333047e-05,0.07937264659547554,0.0013532694054090868
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010591208146020527,0.998940879185398,0.040396249330854374,0.9596037506691456,0.5789473684210527,0.2,16,15,9,5,5,5,0.02914650617731283,0.003923684172697551,0.00016095880165185102,0.1346193656566523,0.005522404663964107
