group,members,n,prevalence,B,alpha,f1_tree_baseline,f1_tree_rappor,f1_tree_dpseg,f1_logreg_baseline,f1_logreg_rappor,f1_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.46704049200237735,0.3293444060452881,0.3287678407751735,0.46702914422655706,0.3291668818759362,0.3287678407751735,-0.13769608595708926,-0.13827265122720384,-0.13786226235062088,-0.13826130345138354,0.0030967771644342624,0.9969032228355658,0.04526014655008663,0.9547398534499134,0.6610664718772827,0.02260327357755261,627,511,30,627,511,30,0.038761922583588224,0.0014006394600916182,6.859692503383315e-05,0.036134416631971915,0.0017696987265249078,5.0,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.4967758144209028,0.33135122447382837,0.32847692550007873,0.49712523956336974,0.33030624680583404,0.32847692550007873,-0.16542458994707443,-0.16829888892082406,-0.1668189927575357,-0.168648314063291,0.002833962622797847,0.9971660373772021,0.03529493083575977,0.9647050691642403,0.7105465742879138,0.02348178137651822,603,509,30,603,509,30,0.0581650287371821,0.002039413548738532,6.537939480744147e-05,0.035062538315825384,0.0011240327087751883,5.0,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.477147235533069,0.3869208517095841,0.3525844096065849,0.47861176413562445,0.3869208517095841,0.3514592099904982,-0.09022638382348486,-0.1245628259264841,-0.09169091242604033,-0.12715255414512627,0.003332776911166242,0.9966672230888337,0.05102775011656085,0.9489722498834392,0.6654438738077769,0.022673964034401875,625,511,30,625,511,30,0.02312494244032078,0.0015572662081092745,5.8519081224943804e-05,0.06734140904904552,0.002530561162518165,5.0,0.40247649792706774
