epsilon,drug,B,alpha,js_global,n,prevalence,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score
10.0,cocaine,30,0.7,0.4003606511606134,173729,0.019357735323405994,0.04237214927436075,0.03820591697998557,0.03830216630525796,0.06908256880733946,0.039093554071220754,0.03957294463623578,-0.004166232294375176,-0.004069982969102784,-0.029989014736118702,-0.029509624171103678,0.0030161918850623672,0.9969838081149376,0.08392381237444525,0.9160761876255548,0.01013308479996462,0.001660765118059015,0.0001242417036404073,0.16389531429410456,0.012260995155279971,0.027351644216447583
10.0,crack,30,0.7,0.4003606511606134,173729,0.0028895578746208177,0.006547579812361304,0.0,0.005799827572693785,0.012658227848101266,0.00646531818601644,0.00590045096303789,-0.006547579812361304,-0.0007477522396675184,-0.006192909662084825,-0.006757776885063376,0.00326370381456176,0.9967362961854382,0.19537900983716017,0.8046209901628398,0.00417744958071124,0.0016005009337727782,0.0001152787158586422,0.3831287255178031,0.02759547748725077,0.00414166705404562
1.0,hallucinogens,30,0.7,0.4409028347578777,173729,0.037564252370070626,0.07851967085601998,0.07267382365527378,0.046368411519652236,0.12186291450670617,0.0694874710795655,0.0728045075075961,-0.005845847200746199,-0.03215125933636774,-0.052375443427140664,-0.04905840699911007,0.002636289853737718,0.9973637101462622,0.05829193744279884,0.9417080625572012,0.013547617218109237,0.0013810381882403203,9.043966513463096e-05,0.10193956368905024,0.006675687958893564,0.032180109859693454
5.0,heroin,30,0.7,0.40247649792706774,173729,0.003154338078271331,0.007153515316422365,0.00784313725490196,0.0064068549417290645,0.01611295681063123,0.005743317870554451,0.006664895800632682,0.0006896219384795958,-0.0007466603746933004,-0.010369638940076779,-0.009448061009998548,0.0031025332558179694,0.996897466744182,0.18575482504360238,0.8142451749563976,0.004382365129632597,0.0014144253791660696,0.00011097804743362644,0.32275388684572026,0.02532377931797994,0.004568244067689352
1.0,inhalants,30,0.7,0.4409028347578777,173729,0.012467693937108946,0.026549218959023648,0.02469797629760104,0.023888520238885203,0.039951573849878935,0.023832933495890194,0.025485483194078822,-0.0018512426614226071,-0.002660698720138445,-0.01611864035398874,-0.014466090655800113,0.0025959972140517703,0.9974040027859482,0.06902704787341205,0.9309729521265879,0.005385106667635345,0.0015013032913797047,9.84584839465304e-05,0.2787880322598962,0.01828347886556619,0.016578855744217694
5.0,marijuana,30,0.7,0.40247649792706774,173729,0.2363278439408504,0.3987220008245156,0.38210116731517507,0.3752947669459636,0.45853000674308836,0.3198781009409752,0.33859200303202575,-0.016620833509340516,-0.023427233878552,-0.13865190580211317,-0.11993800371106261,0.0028895578746208177,0.9971104421253791,0.05213291966223256,0.9478670803377675,0.039295271960494954,0.0014563278214119147,0.00011559848960749014,0.03706114625891932,0.002941791310763945,0.2675943358057469
5.0,methamphetamine,30,0.7,0.40247649792706774,173729,0.008593844435874264,0.01911978501255562,0.0,0.010459035444509006,0.04434250764525994,0.017312627778502763,0.016969502921636116,-0.01911978501255562,-0.008660749568046614,-0.027029879866757176,-0.027373004723623823,0.0030737527988994352,0.9969262472011006,0.16010568183780485,0.8398943181621952,0.008466845057088218,0.0016652704273830152,8.375717354693282e-05,0.19668133952550543,0.009892371123150947,0.007457547744983961
1.0,nicotine_vaping,30,0.7,0.4409028347578777,115739,0.1784532439367888,0.3278776929921536,0.009728542287776558,0.2981266582692359,0.4122025176881375,0.25314408911246855,0.27151140316969463,-0.31814915070437705,-0.02975103472291768,-0.15905842857566893,-0.14069111451844285,0.0026179593741089864,0.997382040625891,0.03931259126137257,0.9606874087386275,0.05483569776743507,0.0021732639576917566,0.00013822135713163547,0.039632284190288525,0.002520645542213199,0.20690268009593557
10.0,opioid_misuse,30,0.7,0.4003606511606134,173729,0.22239810279227992,0.37221374045801525,0.3635360509473817,0.14823222291583907,0.3906582997868814,0.3157343180797445,0.31017770597738287,-0.00867768951063358,-0.22398151754217618,-0.07492398170713688,-0.08048059380949851,0.0029816553367601265,0.9970183446632399,0.04953692244818079,0.9504630775518192,0.020121341735948026,0.0014012355885868629,0.0001202926084715168,0.06963927192208402,0.005978359199406995,0.10585289067711577
5.0,pain_reliever_misuse,30,0.7,0.40247649792706774,173729,0.22173039619176993,0.3726790450928382,0.0101763907734057,0.3479342679416953,0.39089161959117114,0.3106014460128711,0.3211142645901405,-0.3625026543194325,-0.024744777151142927,-0.08029017357830004,-0.06977735500103066,0.0031658502610387444,0.9968341497389612,0.05391730799118167,0.9460826920088183,0.019851978802733566,0.0015041993734917726,9.569356679002897e-05,0.07577075255010086,0.004820354068525008,0.24808563170645642
10.0,sedative_misuse,30,0.7,0.4003606511606134,173729,0.042117320654582714,0.11339846475924634,0.0806672845227062,0.0802458219117517,0.12302779864763336,0.07835325365205843,0.07708742097231305,-0.03273118023654013,-0.03315264284749464,-0.044674544995574925,-0.045940377675320304,0.0032176550834921054,0.9967823449165079,0.06841114609535541,0.9315888539046446,0.009880353638596753,0.0016368886378078798,0.00010173700440176294,0.1656710577052136,0.010296899091175852,0.057303682337292376
10.0,stimulant_misuse,30,0.7,0.4003606511606134,173729,0.0796470364763511,0.11082547843473294,0.14774716832815235,0.1445272410869662,0.1956482647005934,0.13550173495496126,0.13893538667559424,0.036921689893419415,0.03370176265223328,-0.060146529745632143,-0.056712878024999164,0.0034191182819218436,0.9965808817180781,0.05361799123922891,0.946382008760771,0.01357721918821553,0.0016406850222487218,9.227611369078863e-05,0.12084102049945317,0.006796392723104928,0.10320715664724127
5.0,tobacco,30,0.7,0.40247649792706774,173729,0.16289163006751894,0.302540500736377,0.28007145692735214,0.2757865022471493,0.40186823015005463,0.24528678588745328,0.2521167499342624,-0.02246904380902487,-0.026753998489227715,-0.15658144426260134,-0.1497514802157922,0.003091021073050556,0.9969089789269494,0.04442551329944914,0.9555744867005509,0.05429988181042541,0.0015069257881050273,9.470586175932064e-05,0.02775191653945188,0.0017441264806056613,0.1966425124804415
