epsilon,drug,B,alpha,js_global,n,prevalence,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score
1.0,marijuana,30,0.7,0.4409028347578777,173729,0.2363278439408504,0.3987220008245156,0.013187848339744093,0.09145702306079664,0.45853000674308836,0.32140579968884697,0.3239565349852747,-0.3855341524847715,-0.30726497776371897,-0.1371242070542414,-0.13457347175781365,0.0026996068589584927,0.9973003931410415,0.05086657955781706,0.949133420442183,0.039295271960494954,0.0013195333484599988,5.898536442209244e-05,0.033579952055977025,0.0015010804475763062,0.06347202660349033
1.0,cocaine,30,0.7,0.4409028347578777,173729,0.019357735323405994,0.04237214927436075,0.03789441805000852,0.03710292249047014,0.06908256880733946,0.03529785040057111,0.037463429461605684,-0.00447773122435223,-0.005269226783890607,-0.033784718406768346,-0.03161913934573377,0.002814728686632629,0.9971852713133673,0.0986709184995021,0.901329081500498,0.01013308479996462,0.0013369017447640143,8.608030463896639e-05,0.13193432909677044,0.00849497525563656,0.025749774096811135
1.0,crack,30,0.7,0.4409028347578777,173729,0.0028895578746208177,0.006547579812361304,0.003236245954692557,0.00816326530612245,0.012658227848101266,0.0060379528464634845,0.006299433051025408,-0.003311333857668747,0.001615685493761146,-0.006620275001637781,-0.006358794797075858,0.002751411681411854,0.9972485883185881,0.19578769232540336,0.8042123076745966,0.00417744958071124,0.001349616493121696,7.946727671974578e-05,0.3230718808321115,0.019022917017759895,0.005665382223704323
1.0,heroin,30,0.7,0.4409028347578777,173729,0.003154338078271331,0.007153515316422365,0.006263251055221645,0.006152268649064343,0.01611295681063123,0.005839165342836288,0.0065643573139359535,-0.0008902642612007199,-0.001001246667358022,-0.010273791467794943,-0.009548599496695277,0.0028204847780163357,0.9971795152219837,0.17701707832313546,0.8229829216768645,0.004382365129632597,0.001345634791969348,6.0606889043731356e-05,0.30705674953245204,0.013829721451989655,0.004269731796383161
1.0,methamphetamine,30,0.7,0.4409028347578777,173729,0.008593844435874264,0.01911978501255562,0.017076923076923076,0.016356934418676087,0.04434250764525994,0.01740820209708109,0.01631918404079796,-0.0020428619356325436,-0.002762850593879533,-0.026934305548178848,-0.02802332360446198,0.0027629238641792677,0.9972370761358207,0.17558381156859246,0.8244161884314075,0.008466845057088218,0.0016197267771208463,7.063962261763853e-05,0.19130228157002283,0.008343086727269316,0.011351864972508452
1.0,inhalants,30,0.7,0.4409028347578777,173729,0.012467693937108946,0.026549218959023648,0.02469797629760104,0.023888520238885203,0.039951573849878935,0.023832933495890194,0.025485483194078822,-0.0018512426614226071,-0.002660698720138445,-0.01611864035398874,-0.014466090655800113,0.0025959972140517703,0.9974040027859482,0.06902704787341205,0.9309729521265879,0.005385106667635345,0.0015013032913797047,9.84584839465304e-05,0.2787880322598962,0.01828347886556619,0.016578855744217694
1.0,hallucinogens,30,0.7,0.4409028347578777,173729,0.037564252370070626,0.07851967085601998,0.07267382365527378,0.046368411519652236,0.12186291450670617,0.0694874710795655,0.0728045075075961,-0.005845847200746199,-0.03215125933636774,-0.052375443427140664,-0.04905840699911007,0.002636289853737718,0.9973637101462622,0.05829193744279884,0.9417080625572012,0.013547617218109237,0.0013810381882403203,9.043966513463096e-05,0.10193956368905024,0.006675687958893564,0.032180109859693454
1.0,tobacco,30,0.7,0.4409028347578777,173729,0.16289163006751894,0.302540500736377,0.27987457902682616,0.17058925576822992,0.40186823015005463,0.24503056974923945,0.2324662495884096,-0.02266592170955084,-0.13195124496814709,-0.15683766040081518,-0.16940198056164502,0.0028319969607837493,0.9971680030392163,0.04233029603577986,0.9576697039642201,0.05429988181042541,0.0015720723568856169,6.833479570385629e-05,0.02895167179873647,0.0012584704317116252,0.11839053380507429
1.0,nicotine_vaping,30,0.7,0.4409028347578777,115739,0.1784532439367888,0.3278776929921536,0.009728542287776558,0.2981266582692359,0.4122025176881375,0.25314408911246855,0.27151140316969463,-0.31814915070437705,-0.02975103472291768,-0.15905842857566893,-0.14069111451844285,0.0026179593741089864,0.997382040625891,0.03931259126137257,0.9606874087386275,0.05483569776743507,0.0021732639576917566,0.00013822135713163547,0.039632284190288525,0.002520645542213199,0.20690268009593557
1.0,opioid_misuse,30,0.7,0.4409028347578777,173729,0.22239810279227992,0.37221374045801525,0.005632841170948195,0.3568220535852563,0.3906582997868814,0.308217154216026,0.30854339543865145,-0.36658089928706705,-0.015391686872758936,-0.08244114557085536,-0.08211490434822993,0.002751411681411854,0.9972485883185881,0.04821302142992822,0.9517869785700718,0.020121341735948026,0.0015686469484855353,0.0001052422863120411,0.07795936121312677,0.005230381139246754,0.24763783162742886
1.0,tranquilizer_misuse,30,0.7,0.4409028347578777,173729,0.09864213804258357,0.12740167633784655,0.17939219438543513,0.06377277599142551,0.25456872644528195,0.1676661363358218,0.15173455336916447,0.051990518047588585,-0.06362890034642103,-0.08690259010946014,-0.10283417307611747,0.002912582240155645,0.9970874177598443,0.05025643387114414,0.9497435661288559,0.024262844133152273,0.001421654021305471,0.0001060885376500014,0.05859387355841564,0.0043724691576880765,0.044258901053617246
1.0,sedative_misuse,30,0.7,0.4409028347578777,173729,0.042117320654582714,0.11339846475924634,0.08042088042831648,0.065643952907599,0.12302779864763336,0.07660319544758153,0.07977943742583933,-0.03297758433092986,-0.047754511851647335,-0.04642460320005183,-0.04324836122179403,0.0028032165038652155,0.9971967834961348,0.06387534608499444,0.9361246539150055,0.009880353638596753,0.001431836005592917,9.335076571964177e-05,0.1449174855441988,0.009448119888641943,0.0455575152773084
1.0,stimulant_misuse,30,0.7,0.4409028347578777,173729,0.0796470364763511,0.11082547843473294,0.1473419087883422,0.14631050825946418,0.1956482647005934,0.13656122517220626,0.138326195161477,0.036516430353609255,0.03548502982473124,-0.05908703952838715,-0.057322069539116394,0.0025787289399006497,0.9974212710600994,0.05128677422882766,0.9487132257711723,0.01357721918821553,0.0012848183967639154,7.804207323082522e-05,0.094630452595115,0.005748016007472469,0.10154085669770334
1.0,pain_reliever_misuse,30,0.7,0.4409028347578777,173729,0.22173039619176993,0.3726790450928382,0.0096430384029775,0.17935036004766097,0.39089161959117114,0.30537167661421594,0.2942469446968143,-0.36303600668986075,-0.19332868504517725,-0.0855199429769552,-0.09664467489435685,0.0028319969607837493,0.9971680030392163,0.051781798087826444,0.9482182019121735,0.019851978802733566,0.0013229215718279638,7.410913246111081e-05,0.06663927989112102,0.003733085411662145,0.12447082184955109
3.0,marijuana,30,0.7,0.4052837335586774,173729,0.2363278439408504,0.3987220008245156,0.38198956142400875,0.371071630804077,0.45853000674308836,0.32725791670909277,0.3036094036764063,-0.016732439400506838,-0.027650370020438575,-0.1312720900339956,-0.15492060306668204,0.0028204847780163357,0.9971795152219837,0.051954480829337644,0.9480455191706624,0.039295271960494954,0.0014328188535173683,6.784339171826042e-05,0.0364628817166054,0.0017265026638946788,0.2640545976180852
3.0,cocaine,30,0.7,0.4052837335586774,173729,0.019357735323405994,0.04237214927436075,0.006779661016949152,0.029968900197907832,0.06908256880733946,0.03819538408010206,0.032995822417333426,-0.0355924882574116,-0.012403249076452915,-0.030887184727237393,-0.03608674639000603,0.0029758992453764194,0.9970241007546236,0.08200127785228718,0.9179987221477128,0.01013308479996462,0.0016422645655661157,7.544349951625059e-05,0.16206955709793822,0.0074452647940451465,0.021325871411046603
3.0,crack,30,0.7,0.4052837335586774,173729,0.0028895578746208177,0.006547579812361304,0.010309278350515464,0.00822429906542056,0.012658227848101266,0.005749086479902558,0.0068834212067955475,0.00376169853815416,0.0016767192530592568,-0.006909141368198707,-0.005774806641305718,0.002929850514306765,0.9970701494856933,0.21293508855746593,0.7870649114425341,0.00417744958071124,0.0015119617215509679,7.379416216350878e-05,0.36193416397704214,0.017664883977114288,0.005852411772100795
3.0,heroin,30,0.7,0.4052837335586774,173729,0.003154338078271331,0.007153515316422365,0.004484304932735426,0.0055192838392676856,0.01611295681063123,0.005924064267121444,0.005403201141808543,-0.002669210383686939,-0.0016342314771546794,-0.010188892543509787,-0.010709755668822686,0.0029183383315393514,0.9970816616684607,0.18613472707492704,0.8138652729250729,0.004382365129632597,0.0014926748135409016,5.358409899948937e-05,0.34060941281404417,0.012227210059966336,0.003927522753921658
3.0,methamphetamine,30,0.7,0.4052837335586774,173729,0.008593844435874264,0.01911978501255562,0.01707260675196547,0.01354872329338197,0.04434250764525994,0.01751741557013077,0.01705237515225335,-0.0020471782605901503,-0.00557106171917365,-0.02682509207512917,-0.02729013249300659,0.002964387062609006,0.997035612937391,0.16110148564718613,0.8388985143528138,0.008466845057088218,0.001566814953845936,7.51978799265817e-05,0.18505298529518266,0.008881452231563872,0.009641272413416323
