epsilon,p,q,JS_global,match_global,hamming_global
1.0,0.5,0.7310585786300049,0.4409028347578777,0.0028838017832371107,0.9971161982167629
3.0,0.5,0.9525741268224333,0.4052837335586774,0.0028607774177022835,0.9971392225822977
5.0,0.5,0.9933071490757152,0.40247649792706774,0.00299316751952754,0.9970068324804725
10.0,0.5,0.9999546021312976,0.4003606511606134,0.003027704067829781,0.9969722959321702
