drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
tobacco,639,30,0.7,0.4020994216561361,0.2493673021764805,0.24574367462757152,0.05429988181042541,0.0015253889901893402,9.000969416973542e-05,0.028091939417379547,0.0016576407013919841,0.17519029565171088,0.40272424173611265,173729,0.16289163006751894,10.0,0.4003606511606134
tobacco,639,30,0.7,0.4020994216561361,0.2493673021764805,0.24574367462757152,0.05429988181042541,0.0015253889901893402,9.000969416973542e-05,0.028091939417379547,0.0016576407013919841,0.17519029565171088,0.40272424173611265,173729,0.16289163006751894,10.0,0.4003606511606134
tobacco,500,30,0.7,0.3885131823973341,0.24829912526442172,0.25230536250304225,0.04720818461547376,0.0009553619098417844,0.00010020005429313677,0.0202372092386844,0.0021225144561117797,0.18301846721323617,0.3785787103608479,173729,0.16289163006751894,10.0,0.4003606511606134
tobacco,200,30,0.7,0.34207744787162486,0.24830316742081449,0.24643770014983693,0.024309876348629775,0.0004805933243734005,8.864533061576571e-05,0.01976946807466954,0.003646473941063966,0.2035299446122093,0.21081790013445373,173729,0.16289163006751894,10.0,0.4003606511606134
tobacco,100,30,0.7,0.324061534187589,0.24161278516530438,0.22706960539271379,0.016580907635007084,0.0002146119046863636,8.598268931593025e-05,0.012943314649027772,0.005185644309024191,0.2058974944304911,0.10282840507984028,173729,0.16289163006751894,10.0,0.4003606511606134
tobacco,50,30,0.7,0.3110230649497665,0.23800519214127752,0.25100185169831135,0.010738609785145636,0.00012291146586431562,7.497162943463772e-05,0.011445752133980601,0.006981502348501712,0.24357825364442753,0.030477261179155557,173729,0.16289163006751894,10.0,0.4003606511606134
tobacco,30,30,0.7,0.30158183002029954,0.2508820496118982,0.2508820496118982,0.00843525044363992,8.034591901257741e-05,8.034591901257741e-05,0.009525018794570267,0.009525018794570267,0.24646428680691806,0.0179245555703616,173729,0.16289163006751894,10.0,0.4003606511606134
