drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon
cocaine,1500,30,0.7,0.0,0.0,0.0,0.011633418970571609,0.003261278349854336,0.00010149890747022765,0.280337049504037,0.008724770226790904,0.0,0.5403230178522054,173729,0.019357735323405994,3
cocaine,1000,30,0.7,0.0,0.0,0.0,0.008685901435080952,0.002341350759358299,0.00011903470042369378,0.2695576016902474,0.013704357724223288,0.0,0.5185541510238497,173729,0.019357735323405994,3
cocaine,500,30,0.7,0.0,0.0,0.0,0.0063032711703981505,0.0010875517751082666,8.78407375313975e-05,0.17253767856532987,0.013935738310596746,0.0,0.4086522782623765,173729,0.019357735323405994,3
cocaine,200,30,0.7,0.0,0.0,0.0,0.003289269442679624,0.0004915265206286012,0.00012733672013958653,0.14943334050134124,0.03871276657586643,0.0,0.3110069354915299,173729,0.019357735323405994,3
cocaine,100,30,0.7,0.0,0.0,0.0,0.0020291974671779074,0.00022703886513050127,0.00010025906513317663,0.11188603810266629,0.049408234908065035,0.0,0.16819123240061928,173729,0.019357735323405994,3
cocaine,50,30,0.7,0.0,0.0,0.0,0.001675646840846006,0.0001370602713313455,6.467980457558139e-05,0.08179544041759186,0.03859990243703479,0.0,0.08411959626839256,173729,0.019357735323405994,3
cocaine,30,30,0.7,0.0,0.0,0.0,0.001358452053425877,5.5275362107783484e-05,5.5275362107783484e-05,0.040689961760803174,0.040689961760803174,0.0,0.0693666781336821,173729,0.019357735323405994,3
