group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4377513087019194,0.4101174345076784,0.12783711615487317,0.0581650287371821,0.002111759712020153,0.00013266517310806013,0.03630634692131093,0.002280840841796983,0.09092983136235723,0.40588753151250956,115739,0.2595927042742723,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",639,30,0.7,0.4377513087019194,0.4101174345076784,0.12783711615487317,0.0581650287371821,0.002111759712020153,0.00013266517310806013,0.03630634692131093,0.002280840841796983,0.09092983136235723,0.40588753151250956,115739,0.2595927042742723,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.4338589795098433,0.010455238510128513,0.4065636685691793,0.04884532494027799,0.0015574873059985474,0.00015249222884414562,0.031886107992993185,0.0031219411280525664,0.2938458422709167,0.3835951035656999,115739,0.2595927042742723,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",200,30,0.7,0.42660253923926256,0.04421352893235534,0.40216925211249843,0.024800723587938486,0.0006729787151126556,0.00011559536580079636,0.02713544678349426,0.004660967466974015,0.3279479316323791,0.2263204409025498,115739,0.2595927042742723,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",100,30,0.7,0.42635546113326156,0.033270950301517985,0.13468742195954383,0.016369224450252063,0.00041846911150695144,0.00013218154588976198,0.02556438228205171,0.008075003570967992,0.12072959175172879,0.11561233667151173,115739,0.2595927042742723,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",50,30,0.7,0.4173686778337941,0.40199286139202856,0.40779702970297027,0.00940601574490652,0.00011007975045777873,4.916503010088521e-05,0.011703122070297228,0.005226977227579989,0.39318045628033804,0.03717522880183699,115739,0.2595927042742723,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",30,30,0.7,0.3900504987270982,0.15259664193674347,0.15259664193674347,0.006992898468965434,7.872374172157885e-05,7.872374172157896e-05,0.011257669773264369,0.011257669773264384,0.14913851091818614,0.023187377943275647,115739,0.2595927042742723,5,0.40247649792706774
