group,members,n,prevalence,B,alpha,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,epsilon,js_global
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",173729,0.24872646478135488,30,0.7,0.4153650038242543,0.3981060197109675,0.38630174761297437,0.46702914422655706,0.3276232385143276,0.3339757569609981,-0.0172589841132868,-0.02906325621127992,-0.13940590571222944,-0.13305338726555893,0.003033460159213488,0.9969665398407865,0.044460049847751384,0.9555399501522486,1.0,1.0,5,5,5,5,5,5,0.038761922583588224,0.001428781723154523,0.00011055704609111601,0.036860445197820724,0.002852207494422008,5,0.40247649792706774
nicotine,"tobacco,nicotine_vaping",115739,0.2595927042742723,30,0.7,0.4377513087019194,0.4119836419611267,0.1368994390699943,0.49712523956336974,0.3440030268634128,0.2963522963522964,-0.025767666740792727,-0.3008518696319251,-0.15312221269995696,-0.20077294321107336,0.0031277270410146967,0.9968722729589853,0.03608982279093478,0.9639101772090652,1.0,1.0,5,5,5,5,5,5,0.0581650287371821,0.0023975647235163836,7.591209847016478e-05,0.04122003849340035,0.0013051158078709558,5,0.40247649792706774
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",173729,0.3195033644354138,30,0.7,0.4872345648705045,0.48406046382811246,0.10912549431846624,0.47861176413562445,0.39475133051936134,0.3854084439660328,-0.003174101042392019,-0.37810907055203824,-0.08386043361626311,-0.09320332016959165,0.003050728433364608,0.9969492715666354,0.0509874574768749,0.9490125425231251,1.0,1.0,5,5,5,5,5,5,0.02312494244032078,0.001678497158293702,8.275325086548558e-05,0.0725838415652471,0.0035785278635416863,5,0.40247649792706774
