epsilon,drug,B,alpha,js_global,n,prevalence,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score
1.0,nicotine_vaping,30,0.7,0.4409028347578777,115739,0.1784532439367888,0.3278776929921536,0.009728542287776558,0.2981266582692359,0.4122025176881375,0.25314408911246855,0.27151140316969463,-0.31814915070437705,-0.02975103472291768,-0.15905842857566893,-0.14069111451844285,0.0026179593741089864,0.997382040625891,0.03931259126137257,0.9606874087386275,0.05483569776743507,0.0021732639576917566,0.00013822135713163547,0.039632284190288525,0.002520645542213199,0.20690268009593557
3.0,nicotine_vaping,30,0.7,0.4052837335586774,115739,0.1784532439367888,0.3278776929921536,0.302443092621664,0.10734277247283504,0.4122025176881375,0.26616731263336674,0.25338138250573317,-0.025434600370489557,-0.22053492051931856,-0.14603520505477074,-0.15882113518240432,0.0031190869110671424,0.9968809130889329,0.0388719446340473,0.9611280553659527,0.05483569776743507,0.0023512908325291817,7.900786066936377e-05,0.04287883492430961,0.0014408107106514045,0.07638512416350612
5.0,nicotine_vaping,30,0.7,0.40247649792706774,115739,0.1784532439367888,0.3278776929921536,0.3022837574831859,0.298632797123888,0.4122025176881375,0.25804704076565393,0.2755196799771412,-0.025593935508967658,-0.029244895868265564,-0.15415547692248355,-0.13668283771099626,0.0029290040522209453,0.997070995947779,0.038284415797613595,0.9617155842023865,0.05483569776743507,0.0022326047286981648,0.00011882568412956585,0.04071444003807366,0.002166940313835709,0.21293247877257312
10.0,nicotine_vaping,30,0.7,0.4003606511606134,115739,0.1784532439367888,0.3278776929921536,0.3026682986536108,0.29594272076372313,0.4122025176881375,0.2596555323590814,0.2551625810605712,-0.0252093943385428,-0.03193497222843045,-0.15254698532905608,-0.15703993662756627,0.003421491459231547,0.9965785085407685,0.03939899256084811,0.9606010074391519,0.05483569776743507,0.0021557867595925024,0.00011016398832447666,0.0393135648375527,0.0020089830677763173,0.21133321656706575
