group,members,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon
illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",200,30,0.7,0.0,0.0,0.0,0.012784435002267145,0.0004953790473344622,0.00010344815543441438,0.038748606977673516,0.008091726808112307,0.0,0.3110069354915299,173729,0.24872646478135488,10
nicotine,"tobacco,nicotine_vaping",500,30,0.7,0.01206140350877193,0.0,0.0,0.036875651586513944,0.001583507182230447,0.00014346077807893091,0.04294180886581439,0.003890393034611407,0.0,0.42271189952752897,115739,0.2595927042742723,10
prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",100,30,0.7,0.0032335329341317367,0.0,0.0,0.005757084671856853,0.00020226781278486947,8.632068948731726e-05,0.03513372206833139,0.014993819686080096,0.0,0.16819123240061928,173729,0.3195033644354138,10
