epsilon,drug,B,alpha,js_global,n,prevalence,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score
1.0,sedative_misuse,30,0.7,0.4409028347578777,173729,0.042117320654582714,0.11339846475924634,0.08042088042831648,0.065643952907599,0.12302779864763336,0.07660319544758153,0.07977943742583933,-0.03297758433092986,-0.047754511851647335,-0.04642460320005183,-0.04324836122179403,0.0028032165038652155,0.9971967834961348,0.06387534608499444,0.9361246539150055,0.009880353638596753,0.001431836005592917,9.335076571964177e-05,0.1449174855441988,0.009448119888641943,0.0455575152773084
3.0,sedative_misuse,30,0.7,0.4052837335586774,173729,0.042117320654582714,0.11339846475924634,0.011244979919678716,0.05008773329079598,0.12302779864763336,0.07458463324385112,0.07396989508894633,-0.10215348483956763,-0.06331073146845036,-0.04844316540378224,-0.04905790355868703,0.0030737527988994352,0.9969262472011006,0.06697212324942871,0.9330278767505713,0.009880353638596753,0.001434238409638709,6.545218684022636e-05,0.14516063514528263,0.006624478154763916,0.035642434402877524
5.0,sedative_misuse,30,0.7,0.40247649792706774,173729,0.042117320654582714,0.11339846475924634,0.0075440067057837385,0.08107192592871391,0.12302779864763336,0.07995686334925281,0.07948870392390012,-0.1058544580534626,-0.03232653883053242,-0.04307093529838055,-0.04353909472373324,0.0030449723419809015,0.9969550276580191,0.0671332938081725,0.9328667061918275,0.009880353638596753,0.0015635376935942645,7.788928597912063e-05,0.1582471387953604,0.00788324880142476,0.05780626345506851
10.0,sedative_misuse,30,0.7,0.4003606511606134,173729,0.042117320654582714,0.11339846475924634,0.0806672845227062,0.0802458219117517,0.12302779864763336,0.07835325365205843,0.07708742097231305,-0.03273118023654013,-0.03315264284749464,-0.044674544995574925,-0.045940377675320304,0.0032176550834921054,0.9967823449165079,0.06841114609535541,0.9315888539046446,0.009880353638596753,0.0016368886378078798,0.00010173700440176294,0.1656710577052136,0.010296899091175852,0.057303682337292376
